title,base_name,saved_name,types,abilities,image_path,form,hp,atk,def,spa,spd,spe,total
Furfrou,Furfrou,Furfrou Natural Form,Normal,Fur Coat,pokemon_champions_assets\pokemon\Furfrou Natural Form.png,Natural Form,150,100,80,85,110,122,592
Furfrou [Dandy Trim],Furfrou,Furfrou Dandy Trim,Normal,Fur Coat,pokemon_champions_assets\pokemon\Furfrou Dandy Trim.png,Dandy Trim,150,100,80,85,110,122,592
Furfrou [Debutante Trim],Furfrou,Furfrou Debutante Trim,Normal,Fur Coat,pokemon_champions_assets\pokemon\Furfrou Debutante Trim.png,Debutante Trim,150,100,80,85,110,122,592
Furfrou [Diamond Trim],Furfrou,Furfrou Diamond Trim,Normal,Fur Coat,pokemon_champions_assets\pokemon\Furfrou Diamond Trim.png,Diamond Trim,150,100,80,85,110,122,592
Furfrou [Heart Trim],Furfrou,Furfrou Heart Trim,Normal,Fur Coat,pokemon_champions_assets\pokemon\Furfrou Heart Trim.png,Heart Trim,150,100,80,85,110,122,592
Furfrou [Kabuki Trim],Furfrou,Furfrou Kabuki Trim,Normal,Fur Coat,pokemon_champions_assets\pokemon\Furfrou Kabuki Trim.png,Kabuki Trim,150,100,80,85,110,122,592
Furfrou [La Reine Trim],Furfrou,Furfrou La Reine Trim,Normal,Fur Coat,pokemon_champions_assets\pokemon\Furfrou La Reine Trim.png,La Reine Trim,150,100,80,85,110,122,592
Furfrou [Matron Trim],Furfrou,Furfrou Matron Trim,Normal,Fur Coat,pokemon_champions_assets\pokemon\Furfrou Matron Trim.png,Matron Trim,150,100,80,85,110,122,592
Furfrou [Pharaoh Trim],Furfrou,Furfrou Pharaoh Trim,Normal,Fur Coat,pokemon_champions_assets\pokemon\Furfrou Pharaoh Trim.png,Pharaoh Trim,150,100,80,85,110,122,592
Furfrou [Star Trim],Furfrou,Furfrou Star Trim,Normal,Fur Coat,pokemon_champions_assets\pokemon\Furfrou Star Trim.png,Star Trim,150,100,80,85,110,122,592
