title,base_name,saved_name,types,abilities,image_path,form,hp,atk,def,spa,spd,spe,total
Vivillon,Vivillon,Vivillon Icy Snow Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Icy Snow Pattern.png,Icy Snow Pattern,155,72,70,110,70,109,586
Vivillon [Archipelago Pattern],Vivillon,Vivillon Archipelago Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Archipelago Pattern.png,Archipelago Pattern,155,72,70,110,70,109,586
Vivillon [Continental Pattern],Vivillon,Vivillon Continental Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Continental Pattern.png,Continental Pattern,155,72,70,110,70,109,586
Vivillon [Elegant Pattern],Vivillon,Vivillon Elegant Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Elegant Pattern.png,Elegant Pattern,155,72,70,110,70,109,586
Vivillon [Fancy Pattern],Vivillon,Vivillon Fancy Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Fancy Pattern.png,Fancy Pattern,155,72,70,110,70,109,586
Vivillon [Garden Pattern],Vivillon,Vivillon Garden Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Garden Pattern.png,Garden Pattern,155,72,70,110,70,109,586
Vivillon [High Plains Pattern],Vivillon,Vivillon High Plains Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon High Plains Pattern.png,High Plains Pattern,155,72,70,110,70,109,586
Vivillon [Jungle Pattern],Vivillon,Vivillon Jungle Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Jungle Pattern.png,Jungle Pattern,155,72,70,110,70,109,586
Vivillon [Marine Pattern],Vivillon,Vivillon Marine Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Marine Pattern.png,Marine Pattern,155,72,70,110,70,109,586
Vivillon [Meadow Pattern],Vivillon,Vivillon Meadow Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Meadow Pattern.png,Meadow Pattern,155,72,70,110,70,109,586
Vivillon [Modern Pattern],Vivillon,Vivillon Modern Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Modern Pattern.png,Modern Pattern,155,72,70,110,70,109,586
Vivillon [Monsoon Pattern],Vivillon,Vivillon Monsoon Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Monsoon Pattern.png,Monsoon Pattern,155,72,70,110,70,109,586
Vivillon [Ocean Pattern],Vivillon,Vivillon Ocean Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Ocean Pattern.png,Ocean Pattern,155,72,70,110,70,109,586
Vivillon [Poké Ball Pattern],Vivillon,Vivillon Poké Ball Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Poké Ball Pattern.png,Poké Ball Pattern,155,72,70,110,70,109,586
Vivillon [Polar Pattern],Vivillon,Vivillon Polar Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Polar Pattern.png,Polar Pattern,155,72,70,110,70,109,586
Vivillon [River Pattern],Vivillon,Vivillon River Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon River Pattern.png,River Pattern,155,72,70,110,70,109,586
Vivillon [Sandstorm Pattern],Vivillon,Vivillon Sandstorm Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Sandstorm Pattern.png,Sandstorm Pattern,155,72,70,110,70,109,586
Vivillon [Savanna Pattern],Vivillon,Vivillon Savanna Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Savanna Pattern.png,Savanna Pattern,155,72,70,110,70,109,586
Vivillon [Sun Pattern],Vivillon,Vivillon Sun Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Sun Pattern.png,Sun Pattern,155,72,70,110,70,109,586
Vivillon [Tundra Pattern],Vivillon,Vivillon Tundra Pattern,Bug/Flying,Shield Dust|Compound Eyes|Friend Guard,pokemon_champions_assets\pokemon\Vivillon Tundra Pattern.png,Tundra Pattern,155,72,70,110,70,109,586
