move_name,type,category,power,accuracy,pp
Acid Spray,Poison,Special,40,100,20
Acrobatics,Flying,Physical,55,100,16
Aerial Ace,Flying,Physical,60,101,20
Agility,Psychic,Status,-,101,20
Brick Break,Fighting,Physical,75,100,16
Bulk Up,Fighting,Status,-,101,20
Calm Mind,Psychic,Status,-,101,20
Close Combat,Fighting,Physical,120,100,8
Coaching,Fighting,Status,-,101,12
Counter,Fighting,Physical,1,100,20
Dig,Ground,Physical,80,100,12
Dire Claw,Poison,Physical,80,100,16
Double Hit,Normal,Physical,35,90,12
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fake Out,Normal,Physical,40,100,12
Feint,Normal,Physical,30,100,12
Fire Punch,Fire,Physical,75,100,16
Fling,Dark,Physical,1,100,12
Focus Blast,Fighting,Special,120,70,8
Focus Punch,Fighting,Physical,150,100,20
Giga Impact,Normal,Physical,150,90,8
Grass Knot,Grass,Special,1,100,20
Gunk Shot,Poison,Physical,120,80,8
Hone Claws,Dark,Status,-,101,16
Hyper Beam,Normal,Special,150,90,8
Lash Out,Dark,Physical,75,100,8
Low Kick,Fighting,Physical,1,100,20
Low Sweep,Fighting,Physical,65,100,20
Nasty Plot,Dark,Status,-,101,20
Night Slash,Dark,Physical,70,100,20
Poison Jab,Poison,Physical,80,100,20
Poison Tail,Poison,Physical,50,100,20
Protect,Normal,Status,-,101,8
Quick Attack,Normal,Physical,40,100,20
Quick Guard,Fighting,Status,-,101,16
Rain Dance,Water,Status,-,101,8
Rest,Psychic,Status,-,101,8
Reversal,Fighting,Physical,1,100,16
Rock Slide,Rock,Physical,75,90,12
Rock Tomb,Rock,Physical,60,95,16
Screech,Normal,Status,-,85,20
Shadow Ball,Ghost,Special,80,100,16
Shadow Claw,Ghost,Physical,70,100,16
Sleep Talk,Normal,Status,-,101,12
Sludge Bomb,Poison,Special,90,100,12
Sludge Wave,Poison,Special,95,100,12
Spite,Ghost,Status,-,100,12
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Switcheroo,Dark,Status,-,100,12
Swords Dance,Normal,Status,-,101,20
Taunt,Dark,Status,-,100,20
Thief,Dark,Physical,60,100,20
Throat Chop,Dark,Physical,80,100,16
Toxic,Poison,Status,-,90,12
Toxic Spikes,Poison,Status,-,101,20
Trailblaze,Grass,Physical,50,100,20
U-turn,Bug,Physical,70,100,20
Upper Hand,Fighting,Physical,65,100,16
Vacuum Wave,Fighting,Special,40,100,20
Venoshock,Poison,Special,65,100,12
X-Scissor,Bug,Physical,80,100,16
