move_name,type,category,power,accuracy,pp
Acid Armor,Poison,Status,-,101,20
Acid Spray,Poison,Special,40,100,20
Aqua Tail,Water,Physical,90,90,12
Chilling Water,Water,Special,50,100,20
Dive,Water,Physical,80,100,12
Double Team,Normal,Status,-,101,16
Draco Meteor,Dragon,Special,130,90,8
Dragon Pulse,Dragon,Special,85,100,12
Dragon Tail,Dragon,Physical,60,90,12
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Flip Turn,Water,Physical,60,100,20
Focus Blast,Fighting,Special,120,70,8
Giga Impact,Normal,Physical,150,90,8
Gunk Shot,Poison,Physical,120,80,8
Haze,Ice,Status,-,101,20
Hydro Pump,Water,Special,110,80,8
Hyper Beam,Normal,Special,150,90,8
Icy Wind,Ice,Special,55,95,16
Iron Tail,Steel,Physical,100,75,16
Liquidation,Water,Physical,85,100,12
Mud Shot,Ground,Special,55,95,16
Mud-Slap,Ground,Special,20,100,12
Muddy Water,Water,Special,90,85,12
Outrage,Dragon,Physical,120,100,12
Play Rough,Fairy,Physical,90,90,12
Poison Jab,Poison,Physical,80,100,20
Protect,Normal,Status,-,101,8
Rain Dance,Water,Status,-,101,8
Rest,Psychic,Status,-,101,8
Round,Normal,Special,60,100,16
Scald,Water,Special,80,100,16
Scale Shot,Dragon,Physical,25,90,20
Scary Face,Normal,Status,-,100,12
Shadow Ball,Ghost,Special,80,100,16
Sleep Talk,Normal,Status,-,101,12
Sludge Bomb,Poison,Special,90,100,12
Sludge Wave,Poison,Special,95,100,12
Snore,Normal,Special,50,100,16
Snowscape,Ice,Status,-,101,8
Spite,Ghost,Status,-,100,12
Substitute,Normal,Status,-,101,12
Surf,Water,Special,90,100,16
Thief,Dark,Physical,60,100,20
Thunder,Electric,Special,110,70,12
Thunderbolt,Electric,Special,90,100,16
Toxic,Poison,Status,-,90,12
Toxic Spikes,Poison,Status,-,101,20
Venoshock,Poison,Special,65,100,12
Water Pulse,Water,Special,60,100,20
Waterfall,Water,Physical,80,100,16
Whirlpool,Water,Special,35,85,16
