move_name,type,category,power,accuracy,pp
Aerial Ace,Flying,Physical,60,101,20
Air Slash,Flying,Special,75,95,16
Attract,Normal,Status,-,100,16
Block,Normal,Status,-,101,8
Brick Break,Fighting,Physical,75,100,16
Brutal Swing,Dark,Physical,60,100,20
Close Combat,Fighting,Physical,120,100,8
Destiny Bond,Ghost,Status,-,101,8
Double Hit,Normal,Physical,35,90,12
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Flash Cannon,Steel,Special,80,100,12
Giga Impact,Normal,Physical,150,90,8
Gyro Ball,Steel,Physical,1,100,8
Head Smash,Rock,Physical,150,80,8
Hyper Beam,Normal,Special,150,90,8
Iron Defense,Steel,Status,-,101,16
Iron Head,Steel,Physical,80,100,16
King's Shield,Steel,Status,-,101,8
Metal Sound,Steel,Status,-,85,20
Night Slash,Dark,Physical,70,100,20
Poltergeist,Ghost,Physical,110,90,8
Power Trick,Psychic,Status,-,101,12
Protect,Normal,Status,-,101,8
Psycho Cut,Psychic,Physical,70,100,20
Rain Dance,Water,Status,-,101,8
Reflect,Psychic,Status,-,101,20
Rest,Psychic,Status,-,101,8
Reversal,Fighting,Physical,1,100,16
Rock Slide,Rock,Physical,75,90,12
Round,Normal,Special,60,100,16
Sacred Sword,Fighting,Physical,90,100,16
Screech,Normal,Status,-,85,20
Shadow Ball,Ghost,Special,80,100,16
Shadow Claw,Ghost,Physical,70,100,16
Shadow Sneak,Ghost,Physical,40,100,20
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Solar Blade,Grass,Physical,125,100,12
Steel Beam,Steel,Special,140,95,8
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Swords Dance,Normal,Status,-,101,20
Wide Guard,Rock,Status,-,101,12
Zen Headbutt,Psychic,Physical,80,90,16
