move_name,type,category,power,accuracy,pp
Acrobatics,Flying,Physical,55,100,16
Acupressure,Normal,Status,-,101,20
Aromatic Mist,Fairy,Status,-,101,20
Bounce,Flying,Physical,85,85,8
Bullet Seed,Grass,Physical,25,100,20
Charm,Fairy,Status,-,100,20
Dazzling Gleam,Fairy,Special,80,100,12
Draining Kiss,Fairy,Special,50,100,12
Endeavor,Normal,Physical,1,100,8
Endure,Normal,Status,-,101,12
Energy Ball,Grass,Special,90,100,12
Facade,Normal,Physical,70,100,20
Flail,Normal,Physical,1,100,16
Fling,Dark,Physical,1,100,12
Giga Drain,Grass,Special,75,100,12
Giga Impact,Normal,Physical,150,90,8
Grass Knot,Grass,Special,1,100,20
Grassy Glide,Grass,Physical,55,100,20
Grassy Terrain,Grass,Status,-,101,12
Helping Hand,Normal,Status,-,101,20
High Jump Kick,Fighting,Physical,130,90,12
Hyper Beam,Normal,Special,150,90,8
Knock Off,Dark,Physical,65,100,20
Leaf Storm,Grass,Special,130,90,8
Light Screen,Psychic,Status,-,101,20
Low Kick,Fighting,Physical,1,100,20
Low Sweep,Fighting,Physical,65,100,20
Magical Leaf,Grass,Special,60,101,20
Mega Kick,Normal,Physical,120,75,8
Payback,Dark,Physical,50,100,12
Petal Blizzard,Grass,Physical,90,100,16
Play Rough,Fairy,Physical,90,90,12
Power Whip,Grass,Physical,120,85,12
Protect,Normal,Status,-,101,8
Rapid Spin,Normal,Physical,50,100,20
Reflect,Psychic,Status,-,101,20
Rest,Psychic,Status,-,101,8
Round,Normal,Special,60,100,16
Seed Bomb,Grass,Physical,80,100,16
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Solar Beam,Grass,Special,120,100,12
Solar Blade,Grass,Physical,125,100,12
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Swagger,Normal,Status,-,85,16
Sweet Scent,Normal,Status,-,100,20
Synthesis,Grass,Status,-,101,8
Taunt,Dark,Status,-,100,20
Teeter Dance,Normal,Status,-,100,20
Trailblaze,Grass,Physical,50,100,20
Triple Axel,Ice,Physical,20,90,12
Trop Kick,Grass,Physical,85,100,16
U-turn,Bug,Physical,70,100,20
Zen Headbutt,Psychic,Physical,80,90,16
