move_name,type,category,power,accuracy,pp
Astonish,Ghost,Physical,30,100,16
Body Press,Fighting,Physical,80,100,12
Body Slam,Normal,Physical,85,100,16
Brick Break,Fighting,Physical,75,100,16
Bulldoze,Ground,Physical,60,100,20
Charge Beam,Electric,Special,50,90,12
Close Combat,Fighting,Physical,120,100,8
Confuse Ray,Ghost,Status,-,100,12
Curse,Ghost,Status,-,101,12
Dig,Ground,Physical,80,100,12
Double-Edge,Normal,Physical,120,100,16
Drain Punch,Fighting,Physical,75,100,12
Dynamic Punch,Fighting,Physical,100,50,8
Earth Power,Ground,Special,90,100,12
Earthquake,Ground,Physical,100,100,12
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fire Punch,Fire,Physical,75,100,16
Flash Cannon,Steel,Special,80,100,12
Fling,Dark,Physical,1,100,12
Fly,Flying,Physical,90,95,16
Focus Blast,Fighting,Special,120,70,8
Focus Punch,Fighting,Physical,150,100,20
Giga Impact,Normal,Physical,150,90,8
Grass Knot,Grass,Special,1,100,20
Gravity,Psychic,Status,-,101,8
Gyro Ball,Steel,Physical,1,100,8
Hammer Arm,Fighting,Physical,100,90,12
Hard Press,Steel,Physical,1,100,12
Headlong Rush,Ground,Physical,120,100,8
Heat Crash,Fire,Physical,1,100,12
Heavy Slam,Steel,Physical,1,100,12
Helping Hand,Normal,Status,-,101,20
Hex,Ghost,Special,65,100,12
High Horsepower,Ground,Physical,95,95,12
Hyper Beam,Normal,Special,150,90,8
Ice Beam,Ice,Special,90,100,12
Ice Punch,Ice,Physical,75,100,16
Icy Wind,Ice,Special,55,95,16
Imprison,Psychic,Status,-,101,12
Iron Defense,Steel,Status,-,101,16
Iron Head,Steel,Physical,80,100,16
Knock Off,Dark,Physical,65,100,20
Low Kick,Fighting,Physical,1,100,20
Low Sweep,Fighting,Physical,65,100,20
Mega Kick,Normal,Physical,120,75,8
Mud-Slap,Ground,Special,20,100,12
Night Shade,Ghost,Special,1,100,16
Phantom Force,Ghost,Physical,90,100,12
Poltergeist,Ghost,Physical,110,90,8
Protect,Normal,Status,-,101,8
Psych Up,Normal,Status,-,101,12
Psychic,Psychic,Special,90,100,12
Rain Dance,Water,Status,-,101,8
Reflect,Psychic,Status,-,101,20
Rest,Psychic,Status,-,101,8
Rock Slide,Rock,Physical,75,90,12
Rock Tomb,Rock,Physical,60,95,16
Round,Normal,Special,60,100,16
Sandstorm,Rock,Status,-,101,8
Scorching Sands,Ground,Special,70,100,12
Self-Destruct,Normal,Physical,200,100,8
Shadow Ball,Ghost,Special,80,100,16
Shadow Punch,Ghost,Physical,60,101,20
Sleep Talk,Normal,Status,-,101,12
Smack Down,Rock,Physical,50,100,16
Snore,Normal,Special,50,100,16
Solar Beam,Grass,Special,120,100,12
Stealth Rock,Rock,Status,-,101,20
Stomping Tantrum,Ground,Physical,75,100,12
Stone Edge,Rock,Physical,100,80,8
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Superpower,Fighting,Physical,120,100,8
Thief,Dark,Physical,60,100,20
Thunder Punch,Electric,Physical,75,100,16
Thunderbolt,Electric,Special,90,100,16
Trick,Psychic,Status,-,100,12
Zen Headbutt,Psychic,Physical,80,90,16
