move_name,type,category,power,accuracy,pp
Acrobatics,Flying,Physical,55,100,16
Aerial Ace,Flying,Physical,60,101,20
Agility,Psychic,Status,-,101,20
Air Cutter,Flying,Special,60,95,20
Air Slash,Flying,Special,75,95,16
Assurance,Dark,Physical,60,100,12
Baton Pass,Normal,Status,-,101,20
Brick Break,Fighting,Physical,75,100,16
Brutal Swing,Dark,Physical,60,100,20
Bug Bite,Bug,Physical,60,100,20
Bug Buzz,Bug,Special,90,100,12
Bullet Punch,Steel,Physical,40,100,20
Close Combat,Fighting,Physical,120,100,8
Counter,Fighting,Physical,1,100,20
Curse,Ghost,Status,-,101,12
Defog,Flying,Status,-,101,16
Double Hit,Normal,Physical,35,90,12
Double Team,Normal,Status,-,101,16
Double-Edge,Normal,Physical,120,100,16
Dual Wingbeat,Flying,Physical,40,90,12
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Feint,Normal,Physical,30,100,12
Flash Cannon,Steel,Special,80,100,12
Fling,Dark,Physical,1,100,12
Focus Energy,Normal,Status,-,101,20
Giga Impact,Normal,Physical,150,90,8
Hard Press,Steel,Physical,1,100,12
Helping Hand,Normal,Status,-,101,20
Hyper Beam,Normal,Special,150,90,8
Iron Defense,Steel,Status,-,101,16
Iron Head,Steel,Physical,80,100,16
Knock Off,Dark,Physical,65,100,20
Light Screen,Psychic,Status,-,101,20
Lunge,Bug,Physical,80,100,16
Night Slash,Dark,Physical,70,100,20
Pounce,Bug,Physical,50,100,20
Protect,Normal,Status,-,101,8
Psycho Cut,Psychic,Physical,70,100,20
Quick Attack,Normal,Physical,40,100,20
Quick Guard,Fighting,Status,-,101,16
Rain Dance,Water,Status,-,101,8
Rest,Psychic,Status,-,101,8
Reversal,Fighting,Physical,1,100,16
Roost,Flying,Status,-,101,8
Round,Normal,Special,60,100,16
Sandstorm,Rock,Status,-,101,8
Scary Face,Normal,Status,-,100,12
Skitter Smack,Bug,Physical,70,90,12
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Steel Beam,Steel,Special,140,95,8
Steel Wing,Steel,Physical,70,90,20
Struggle Bug,Bug,Special,50,100,20
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Superpower,Fighting,Physical,120,100,8
Swords Dance,Normal,Status,-,101,20
Tailwind,Flying,Status,-,101,16
Thief,Dark,Physical,60,100,20
Trailblaze,Grass,Physical,50,100,20
U-turn,Bug,Physical,70,100,20
Vacuum Wave,Fighting,Special,40,100,20
X-Scissor,Bug,Physical,80,100,16
