move_name,type,category,power,accuracy,pp
Agility,Psychic,Status,-,101,20
Bite,Dark,Physical,60,100,20
Body Slam,Normal,Physical,85,100,16
Bulldoze,Ground,Physical,60,100,20
Calm Mind,Psychic,Status,-,101,20
Charge Beam,Electric,Special,50,90,12
Confuse Ray,Ghost,Status,-,100,12
Curse,Ghost,Status,-,101,12
Dig,Ground,Physical,80,100,12
Disable,Normal,Status,-,100,20
Double-Edge,Normal,Physical,120,100,16
Earth Power,Ground,Special,90,100,12
Earthquake,Ground,Physical,100,100,12
Endure,Normal,Status,-,101,12
Energy Ball,Grass,Special,90,100,12
Expanding Force,Psychic,Special,80,100,12
Extrasensory,Psychic,Special,80,100,20
Facade,Normal,Physical,70,100,20
Future Sight,Psychic,Special,120,100,12
Giga Impact,Normal,Physical,150,90,8
Gravity,Psychic,Status,-,101,8
Helping Hand,Normal,Status,-,101,20
High Horsepower,Ground,Physical,95,95,12
Hyper Beam,Normal,Special,150,90,8
Hypnosis,Psychic,Status,-,60,20
Imprison,Psychic,Status,-,101,12
Light Screen,Psychic,Status,-,101,20
Lunge,Bug,Physical,80,100,16
Megahorn,Bug,Physical,120,85,12
Protect,Normal,Status,-,101,8
Psybeam,Psychic,Special,65,100,20
Psych Up,Normal,Status,-,101,12
Psychic,Psychic,Special,90,100,12
Psychic Noise,Psychic,Special,75,100,12
Psyshield Bash,Psychic,Physical,90,90,12
Psyshock,Psychic,Special,80,100,12
Rain Dance,Water,Status,-,101,8
Reflect,Psychic,Status,-,101,20
Rest,Psychic,Status,-,101,8
Roar,Normal,Status,-,101,20
Role Play,Psychic,Status,-,101,12
Sand Attack,Ground,Status,-,100,16
Scary Face,Normal,Status,-,100,12
Shadow Ball,Ghost,Special,80,100,16
Skill Swap,Psychic,Status,-,101,12
Sleep Talk,Normal,Status,-,101,12
Solar Beam,Grass,Special,120,100,12
Spite,Ghost,Status,-,100,12
Stored Power,Psychic,Special,20,100,12
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Tackle,Normal,Physical,40,100,20
Thief,Dark,Physical,60,100,20
Thrash,Normal,Physical,120,100,12
Throat Chop,Dark,Physical,80,100,16
Thunder,Electric,Special,110,70,12
Thunder Wave,Electric,Status,-,90,20
Thunderbolt,Electric,Special,90,100,16
Trailblaze,Grass,Physical,50,100,20
Trick,Psychic,Status,-,100,12
Trick Room,Psychic,Status,-,101,8
Uproar,Normal,Special,90,100,12
Wild Charge,Electric,Physical,90,100,16
Zen Headbutt,Psychic,Physical,80,90,16
