move_name,type,category,power,accuracy,pp
Acid Spray,Poison,Special,40,100,20
Body Slam,Normal,Physical,85,100,16
Bug Bite,Bug,Physical,60,100,20
Bullet Seed,Grass,Physical,25,100,20
Clear Smog,Poison,Special,50,101,16
Encore,Normal,Status,-,100,8
Endure,Normal,Status,-,101,12
Energy Ball,Grass,Special,90,100,12
Facade,Normal,Physical,70,100,20
Gastro Acid,Poison,Status,-,100,12
Giga Drain,Grass,Special,75,100,12
Giga Impact,Normal,Physical,150,90,8
Grass Knot,Grass,Special,1,100,20
Grassy Glide,Grass,Physical,55,100,20
Grassy Terrain,Grass,Status,-,101,12
Growth,Grass,Status,-,101,20
Hyper Beam,Normal,Special,150,90,8
Ingrain,Grass,Status,-,101,20
Knock Off,Dark,Physical,65,100,20
Leaf Blade,Grass,Physical,90,100,16
Leaf Storm,Grass,Special,130,90,8
Leech Life,Bug,Physical,80,100,12
Lunge,Bug,Physical,80,100,16
Poison Jab,Poison,Physical,80,100,20
Poison Powder,Poison,Status,-,75,20
Pounce,Bug,Physical,50,100,20
Power Whip,Grass,Physical,120,85,12
Protect,Normal,Status,-,101,8
Reflect,Psychic,Status,-,101,20
Rest,Psychic,Status,-,101,8
Round,Normal,Special,60,100,16
Scary Face,Normal,Status,-,100,12
Seed Bomb,Grass,Physical,80,100,16
Sleep Powder,Grass,Status,-,75,16
Sleep Talk,Normal,Status,-,101,12
Sludge Bomb,Poison,Special,90,100,12
Sludge Wave,Poison,Special,95,100,12
Snore,Normal,Special,50,100,16
Solar Beam,Grass,Special,120,100,12
Spit Up,Normal,Special,1,100,12
Stockpile,Normal,Status,-,101,20
Strength Sap,Grass,Status,-,100,12
Stun Spore,Grass,Status,-,75,20
Substitute,Normal,Status,-,101,12
Sucker Punch,Dark,Physical,70,100,8
Sunny Day,Fire,Status,-,101,8
Swallow,Normal,Status,-,101,12
Sweet Scent,Normal,Status,-,100,20
Swift,Normal,Special,60,101,20
Swords Dance,Normal,Status,-,101,20
Synthesis,Grass,Status,-,101,8
Thief,Dark,Physical,60,100,20
Tickle,Normal,Status,-,100,20
Toxic,Poison,Status,-,90,12
Toxic Spikes,Poison,Status,-,101,20
Trailblaze,Grass,Physical,50,100,20
Venoshock,Poison,Special,65,100,12
Weather Ball,Normal,Special,50,100,12
Worry Seed,Grass,Status,-,100,12
Wrap,Normal,Physical,15,90,20
