move_name,type,category,power,accuracy,pp
Alluring Voice,Fairy,Special,80,100,12
Assurance,Dark,Physical,60,100,12
Baby-Doll Eyes,Fairy,Status,-,100,20
Baton Pass,Normal,Status,-,101,20
Bite,Dark,Physical,60,100,20
Body Slam,Normal,Physical,85,100,16
Calm Mind,Psychic,Status,-,101,20
Charm,Fairy,Status,-,100,20
Confuse Ray,Ghost,Status,-,100,12
Copycat,Normal,Status,-,101,20
Covet,Normal,Physical,60,100,20
Crunch,Dark,Physical,80,100,16
Curse,Ghost,Status,-,101,12
Dark Pulse,Dark,Special,80,100,16
Detect,Fighting,Status,-,101,8
Dig,Ground,Physical,80,100,12
Double-Edge,Normal,Physical,120,100,16
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fake Tears,Dark,Status,-,100,20
Flail,Normal,Physical,1,100,16
Focus Energy,Normal,Status,-,101,20
Foul Play,Dark,Physical,95,100,16
Giga Impact,Normal,Physical,150,90,8
Guard Swap,Psychic,Status,-,101,12
Helping Hand,Normal,Status,-,101,20
Hyper Beam,Normal,Special,150,90,8
Hyper Voice,Normal,Special,90,100,12
Lash Out,Dark,Physical,75,100,8
Last Resort,Normal,Physical,140,100,8
Light Screen,Psychic,Status,-,101,20
Mean Look,Normal,Status,-,101,8
Moonlight,Fairy,Status,-,101,8
Mud-Slap,Ground,Special,20,100,12
Payback,Dark,Physical,50,100,12
Protect,Normal,Status,-,101,8
Psych Up,Normal,Status,-,101,12
Psychic,Psychic,Special,90,100,12
Quick Attack,Normal,Physical,40,100,20
Rain Dance,Water,Status,-,101,8
Reflect,Psychic,Status,-,101,20
Rest,Psychic,Status,-,101,8
Roar,Normal,Status,-,101,20
Round,Normal,Special,60,100,16
Scary Face,Normal,Status,-,100,12
Screech,Normal,Status,-,85,20
Shadow Ball,Ghost,Special,80,100,16
Skill Swap,Psychic,Status,-,101,12
Sleep Talk,Normal,Status,-,101,12
Snarl,Dark,Special,55,95,16
Snore,Normal,Special,50,100,16
Spite,Ghost,Status,-,100,12
Stored Power,Psychic,Special,20,100,12
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Swagger,Normal,Status,-,85,16
Taunt,Dark,Status,-,100,20
Thief,Dark,Physical,60,100,20
Throat Chop,Dark,Physical,80,100,16
Thunder Wave,Electric,Status,-,90,20
Tickle,Normal,Status,-,100,20
Torment,Dark,Status,-,100,16
Toxic,Poison,Status,-,90,12
Trailblaze,Grass,Physical,50,100,20
Weather Ball,Normal,Special,50,100,12
Wish,Normal,Status,-,101,12
Yawn,Normal,Status,-,101,12
