move_name,type,category,power,accuracy,pp
Acid Spray,Poison,Special,40,100,20
Belch,Poison,Special,120,90,12
Boomburst,Normal,Special,140,100,12
Brick Break,Fighting,Physical,75,100,16
Charge,Electric,Status,-,101,20
Charge Beam,Electric,Special,50,90,12
Charm,Fairy,Status,-,100,20
Discharge,Electric,Special,80,100,16
Drain Punch,Fighting,Physical,75,100,12
Eerie Impulse,Electric,Status,-,100,16
Electric Terrain,Electric,Status,-,101,12
Electro Ball,Electric,Special,1,100,12
Electroweb,Electric,Special,55,95,16
Encore,Normal,Status,-,100,8
Endeavor,Normal,Physical,1,100,8
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fire Punch,Fire,Physical,75,100,16
Flail,Normal,Physical,1,100,16
Fling,Dark,Physical,1,100,12
Giga Impact,Normal,Physical,150,90,8
Gunk Shot,Poison,Physical,120,80,8
Helping Hand,Normal,Status,-,101,20
Hex,Ghost,Special,65,100,12
Hyper Beam,Normal,Special,150,90,8
Hyper Voice,Normal,Special,90,100,12
Mega Kick,Normal,Physical,120,75,8
Metal Sound,Steel,Status,-,85,20
Noble Roar,Normal,Status,-,100,20
Nuzzle,Electric,Physical,20,100,20
Overdrive,Electric,Special,80,100,12
Payback,Dark,Physical,50,100,12
Poison Jab,Poison,Physical,80,100,20
Protect,Normal,Status,-,101,8
Psychic Noise,Psychic,Special,75,100,12
Rain Dance,Water,Status,-,101,8
Rest,Psychic,Status,-,101,8
Rising Voltage,Electric,Special,70,100,20
Round,Normal,Special,60,100,16
Scary Face,Normal,Status,-,100,12
Screech,Normal,Status,-,85,20
Shift Gear,Steel,Status,-,101,12
Sleep Talk,Normal,Status,-,101,12
Sludge Bomb,Poison,Special,90,100,12
Sludge Wave,Poison,Special,95,100,12
Snarl,Dark,Special,55,95,16
Snore,Normal,Special,50,100,16
Stored Power,Psychic,Special,20,100,12
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Swagger,Normal,Status,-,85,16
Taunt,Dark,Status,-,100,20
Tearful Look,Normal,Status,-,101,20
Thief,Dark,Physical,60,100,20
Throat Chop,Dark,Physical,80,100,16
Thunder,Electric,Special,110,70,12
Thunder Fang,Electric,Physical,65,95,16
Thunder Punch,Electric,Physical,75,100,16
Thunder Wave,Electric,Status,-,90,20
Thunderbolt,Electric,Special,90,100,16
Toxic,Poison,Status,-,90,12
Toxic Spikes,Poison,Status,-,101,20
Trailblaze,Grass,Physical,50,100,20
Uproar,Normal,Special,90,100,12
Venoshock,Poison,Special,65,100,12
Volt Switch,Electric,Special,70,100,20
Wild Charge,Electric,Physical,90,100,16
Zap Cannon,Electric,Special,120,50,8
