move_name,type,category,power,accuracy,pp
Agility,Psychic,Status,-,101,20
Charge,Electric,Status,-,101,20
Charge Beam,Electric,Special,50,90,12
Charm,Fairy,Status,-,100,20
Covet,Normal,Physical,60,100,20
Dazzling Gleam,Fairy,Special,80,100,12
Dig,Ground,Physical,80,100,12
Discharge,Electric,Special,80,100,16
Draining Kiss,Fairy,Special,50,100,12
Eerie Impulse,Electric,Status,-,100,16
Electric Terrain,Electric,Status,-,101,12
Electro Ball,Electric,Special,1,100,12
Electroweb,Electric,Special,55,95,16
Endeavor,Normal,Physical,1,100,8
Endure,Normal,Status,-,101,12
Entrainment,Normal,Status,-,100,16
Facade,Normal,Physical,70,100,20
Fling,Dark,Physical,1,100,12
Giga Impact,Normal,Physical,150,90,8
Grass Knot,Grass,Special,1,100,20
Helping Hand,Normal,Status,-,101,20
Hyper Beam,Normal,Special,150,90,8
Iron Tail,Steel,Physical,100,75,16
Light Screen,Psychic,Status,-,101,20
Magnet Rise,Electric,Status,-,101,12
Misty Terrain,Fairy,Status,-,101,12
Nuzzle,Electric,Physical,20,100,20
Parabolic Charge,Electric,Special,65,100,20
Play Rough,Fairy,Physical,90,90,12
Protect,Normal,Status,-,101,8
Rain Dance,Water,Status,-,101,8
Rest,Psychic,Status,-,101,8
Rising Voltage,Electric,Special,70,100,20
Round,Normal,Special,60,100,16
Seed Bomb,Grass,Physical,80,100,16
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Super Fang,Normal,Physical,1,90,12
Tearful Look,Normal,Status,-,101,20
Thief,Dark,Physical,60,100,20
Thunder,Electric,Special,110,70,12
Thunder Punch,Electric,Physical,75,100,16
Thunder Wave,Electric,Status,-,90,20
Thunderbolt,Electric,Special,90,100,16
Trailblaze,Grass,Physical,50,100,20
U-turn,Bug,Physical,70,100,20
Volt Switch,Electric,Special,70,100,20
Wild Charge,Electric,Physical,90,100,16
