move_name,type,category,power,accuracy,pp
Bite,Dark,Physical,60,100,20
Bullet Seed,Grass,Physical,25,100,20
Burning Jealousy,Fire,Special,70,100,8
Crunch,Dark,Physical,80,100,16
Double Hit,Normal,Physical,35,90,12
Endeavor,Normal,Physical,1,100,8
Endure,Normal,Status,-,101,12
Energy Ball,Grass,Special,90,100,12
Facade,Normal,Physical,70,100,20
Fire Blast,Fire,Special,110,85,8
Fire Fang,Fire,Physical,65,95,16
Fire Spin,Fire,Special,35,85,16
Flamethrower,Fire,Special,90,100,16
Flare Blitz,Fire,Physical,120,100,16
Giga Drain,Grass,Special,75,100,12
Giga Impact,Normal,Physical,150,90,8
Grass Knot,Grass,Special,1,100,20
Grassy Glide,Grass,Physical,55,100,20
Grassy Terrain,Grass,Status,-,101,12
Growth,Grass,Status,-,101,20
Helping Hand,Normal,Status,-,101,20
Hyper Beam,Normal,Special,150,90,8
Ingrain,Grass,Status,-,101,20
Lash Out,Dark,Physical,75,100,8
Leaf Storm,Grass,Special,130,90,8
Leech Seed,Grass,Status,-,90,12
Overheat,Fire,Special,130,90,8
Protect,Normal,Status,-,101,8
Rage Powder,Bug,Status,-,101,20
Rest,Psychic,Status,-,101,8
Sandstorm,Rock,Status,-,101,8
Scary Face,Normal,Status,-,100,12
Seed Bomb,Grass,Physical,80,100,16
Sleep Talk,Normal,Status,-,101,12
Solar Beam,Grass,Special,120,100,12
Spicy Extract,Grass,Status,-,101,16
Stomping Tantrum,Ground,Physical,75,100,12
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Super Fang,Normal,Physical,1,90,12
Swagger,Normal,Status,-,85,16
Temper Flare,Fire,Physical,75,100,12
Thief,Dark,Physical,60,100,20
Thunder Fang,Electric,Physical,65,95,16
Trailblaze,Grass,Physical,50,100,20
Will-O-Wisp,Fire,Status,-,85,16
Worry Seed,Grass,Status,-,100,12
Zen Headbutt,Psychic,Physical,80,90,16
