move_name,type,category,power,accuracy,pp
Acrobatics,Flying,Physical,55,100,16
Aerial Ace,Flying,Physical,60,101,20
Agility,Psychic,Status,-,101,20
Attract,Normal,Status,-,100,16
Aura Sphere,Fighting,Special,80,101,20
Blast Burn,Fire,Special,150,90,8
Blaze Kick,Fire,Physical,85,90,12
Body Slam,Normal,Physical,85,100,16
Brick Break,Fighting,Physical,75,100,16
Bulk Up,Fighting,Status,-,101,20
Bulldoze,Ground,Physical,60,100,20
Burning Jealousy,Fire,Special,70,100,8
Calm Mind,Psychic,Status,-,101,20
Close Combat,Fighting,Physical,120,100,8
Coaching,Fighting,Status,-,101,12
Counter,Fighting,Physical,1,100,20
Dig,Ground,Physical,80,100,12
Double-Edge,Normal,Physical,120,100,16
Drain Punch,Fighting,Physical,75,100,12
Earthquake,Ground,Physical,100,100,12
Encore,Normal,Status,-,100,8
Endeavor,Normal,Physical,1,100,8
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fake Out,Normal,Physical,40,100,12
Fake Tears,Dark,Status,-,100,20
Feint,Normal,Physical,30,100,12
Fire Blast,Fire,Special,110,85,8
Fire Punch,Fire,Physical,75,100,16
Fire Spin,Fire,Special,35,85,16
Flame Charge,Fire,Physical,50,100,20
Flame Wheel,Fire,Physical,60,100,20
Flamethrower,Fire,Special,90,100,16
Flare Blitz,Fire,Physical,120,100,16
Fling,Dark,Physical,1,100,12
Focus Blast,Fighting,Special,120,70,8
Focus Energy,Normal,Status,-,101,20
Focus Punch,Fighting,Physical,150,100,20
Giga Impact,Normal,Physical,150,90,8
Grass Knot,Grass,Special,1,100,20
Gunk Shot,Poison,Physical,120,80,8
Heat Wave,Fire,Special,95,90,12
Helping Hand,Normal,Status,-,101,20
Hyper Beam,Normal,Special,150,90,8
Iron Tail,Steel,Physical,100,75,16
Knock Off,Dark,Physical,65,100,20
Lash Out,Dark,Physical,75,100,8
Low Kick,Fighting,Physical,1,100,20
Low Sweep,Fighting,Physical,65,100,20
Mach Punch,Fighting,Physical,40,100,20
Mud-Slap,Ground,Special,20,100,12
Nasty Plot,Dark,Status,-,101,20
Overheat,Fire,Special,130,90,8
Poison Jab,Poison,Physical,80,100,20
Protect,Normal,Status,-,101,8
Psych Up,Normal,Status,-,101,12
Raging Fury,Fire,Physical,120,100,12
Rest,Psychic,Status,-,101,8
Reversal,Fighting,Physical,1,100,16
Roar,Normal,Status,-,101,20
Rock Slide,Rock,Physical,75,90,12
Rock Tomb,Rock,Physical,60,95,16
Round,Normal,Special,60,100,16
Scary Face,Normal,Status,-,100,12
Scorching Sands,Ground,Special,70,100,12
Shadow Claw,Ghost,Physical,70,100,16
Slack Off,Normal,Status,-,101,8
Sleep Talk,Normal,Status,-,101,12
Smack Down,Rock,Physical,50,100,16
Snore,Normal,Special,50,100,16
Solar Beam,Grass,Special,120,100,12
Stealth Rock,Rock,Status,-,101,20
Stone Edge,Rock,Physical,100,80,8
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Switcheroo,Dark,Status,-,100,12
Swords Dance,Normal,Status,-,101,20
Taunt,Dark,Status,-,100,20
Temper Flare,Fire,Physical,75,100,12
Thief,Dark,Physical,60,100,20
Throat Chop,Dark,Physical,80,100,16
Thunder Punch,Electric,Physical,75,100,16
Torment,Dark,Status,-,100,16
U-turn,Bug,Physical,70,100,20
Upper Hand,Fighting,Physical,65,100,16
Uproar,Normal,Special,90,100,12
Vacuum Wave,Fighting,Special,40,100,20
Will-O-Wisp,Fire,Status,-,85,16
Zen Headbutt,Psychic,Physical,80,90,16
