move_name,type,category,power,accuracy,pp
Bite,Dark,Physical,60,100,20
Body Slam,Normal,Physical,85,100,16
Brick Break,Fighting,Physical,75,100,16
Bulk Up,Fighting,Status,-,101,20
Bulldoze,Ground,Physical,60,100,20
Charm,Fairy,Status,-,100,20
Close Combat,Fighting,Physical,120,100,8
Counter,Fighting,Physical,1,100,20
Crunch,Dark,Physical,80,100,16
Dig,Ground,Physical,80,100,12
Double Team,Normal,Status,-,101,16
Double-Edge,Normal,Physical,120,100,16
Earth Power,Ground,Special,90,100,12
Endeavor,Normal,Physical,1,100,8
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fire Fang,Fire,Physical,65,95,16
Fire Punch,Fire,Physical,75,100,16
Fling,Dark,Physical,1,100,12
Focus Punch,Fighting,Physical,150,100,20
Foul Play,Dark,Physical,95,100,16
Giga Impact,Normal,Physical,150,90,8
Helping Hand,Normal,Status,-,101,20
Howl,Normal,Status,-,101,20
Hyper Voice,Normal,Special,90,100,12
Iron Defense,Steel,Status,-,101,16
Iron Head,Steel,Physical,80,100,16
Iron Tail,Steel,Physical,100,75,16
Knock Off,Dark,Physical,65,100,20
Lash Out,Dark,Physical,75,100,8
Last Resort,Normal,Physical,140,100,8
Low Sweep,Fighting,Physical,65,100,20
Mega Kick,Normal,Physical,120,75,8
Mud-Slap,Ground,Special,20,100,12
Outrage,Dragon,Physical,120,100,12
Payback,Dark,Physical,50,100,12
Play Rough,Fairy,Physical,90,90,12
Protect,Normal,Status,-,101,8
Psychic Fangs,Psychic,Physical,85,100,12
Rest,Psychic,Status,-,101,8
Reversal,Fighting,Physical,1,100,16
Roar,Normal,Status,-,101,20
Rock Blast,Rock,Physical,25,90,12
Rock Slide,Rock,Physical,75,90,12
Rock Tomb,Rock,Physical,60,95,16
Round,Normal,Special,60,100,16
Sand Attack,Ground,Status,-,100,16
Sandstorm,Rock,Status,-,101,8
Scary Face,Normal,Status,-,100,12
Shadow Claw,Ghost,Physical,70,100,16
Sleep Talk,Normal,Status,-,101,12
Snarl,Dark,Special,55,95,16
Snore,Normal,Special,50,100,16
Stealth Rock,Rock,Status,-,101,20
Stomping Tantrum,Ground,Physical,75,100,12
Stone Edge,Rock,Physical,100,80,8
Substitute,Normal,Status,-,101,12
Sucker Punch,Dark,Physical,70,100,8
Sunny Day,Fire,Status,-,101,8
Swords Dance,Normal,Status,-,101,20
Tackle,Normal,Physical,40,100,20
Taunt,Dark,Status,-,100,20
Thrash,Normal,Physical,120,100,12
Throat Chop,Dark,Physical,80,100,16
Thunder Fang,Electric,Physical,65,95,16
Thunder Punch,Electric,Physical,75,100,16
Trailblaze,Grass,Physical,50,100,20
Upper Hand,Fighting,Physical,65,100,16
Uproar,Normal,Special,90,100,12
Zen Headbutt,Psychic,Physical,80,90,16
