move_name,type,category,power,accuracy,pp
Acid Spray,Poison,Special,40,100,20
Beat Up,Dark,Physical,1,100,12
Belch,Poison,Special,120,90,12
Bite,Dark,Physical,60,100,20
Body Slam,Normal,Physical,85,100,16
Breaking Swipe,Dragon,Physical,60,100,16
Brutal Swing,Dark,Physical,60,100,20
Bulldoze,Ground,Physical,60,100,20
Coil,Poison,Status,-,101,20
Crunch,Dark,Physical,80,100,16
Dark Pulse,Dark,Special,80,100,16
Dig,Ground,Physical,80,100,12
Double-Edge,Normal,Physical,120,100,16
Dragon Tail,Dragon,Physical,60,90,12
Earthquake,Ground,Physical,100,100,12
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fire Fang,Fire,Physical,65,95,16
Gastro Acid,Poison,Status,-,100,12
Giga Drain,Grass,Special,75,100,12
Giga Impact,Normal,Physical,150,90,8
Glare,Normal,Status,-,100,20
Gunk Shot,Poison,Physical,120,80,8
Haze,Ice,Status,-,101,20
Hyper Beam,Normal,Special,150,90,8
Ice Fang,Ice,Physical,65,95,16
Iron Tail,Steel,Physical,100,75,16
Knock Off,Dark,Physical,65,100,20
Lash Out,Dark,Physical,75,100,8
Leech Life,Bug,Physical,80,100,12
Mud Shot,Ground,Special,55,95,16
Mud-Slap,Ground,Special,20,100,12
Pain Split,Normal,Status,-,101,20
Payback,Dark,Physical,50,100,12
Poison Fang,Poison,Physical,50,100,16
Poison Jab,Poison,Physical,80,100,20
Protect,Normal,Status,-,101,8
Psychic Fangs,Psychic,Physical,85,100,12
Rain Dance,Water,Status,-,101,8
Rest,Psychic,Status,-,101,8
Rock Slide,Rock,Physical,75,90,12
Rock Tomb,Rock,Physical,60,95,16
Round,Normal,Special,60,100,16
Scale Shot,Dragon,Physical,25,90,20
Scary Face,Normal,Status,-,100,12
Screech,Normal,Status,-,85,20
Seed Bomb,Grass,Physical,80,100,16
Skitter Smack,Bug,Physical,70,90,12
Sleep Talk,Normal,Status,-,101,12
Sludge Bomb,Poison,Special,90,100,12
Sludge Wave,Poison,Special,95,100,12
Snarl,Dark,Special,55,95,16
Snore,Normal,Special,50,100,16
Spit Up,Normal,Special,1,100,12
Spite,Ghost,Status,-,100,12
Stockpile,Normal,Status,-,101,20
Stomping Tantrum,Ground,Physical,75,100,12
Substitute,Normal,Status,-,101,12
Sucker Punch,Dark,Physical,70,100,8
Sunny Day,Fire,Status,-,101,8
Swallow,Normal,Status,-,101,12
Switcheroo,Dark,Status,-,100,12
Thief,Dark,Physical,60,100,20
Throat Chop,Dark,Physical,80,100,16
Thunder Fang,Electric,Physical,65,95,16
Toxic,Poison,Status,-,90,12
Toxic Spikes,Poison,Status,-,101,20
Trailblaze,Grass,Physical,50,100,20
Venoshock,Poison,Special,65,100,12
Wrap,Normal,Physical,15,90,20
