move_name,type,category,power,accuracy,pp
Aerial Ace,Flying,Physical,60,101,20
Air Cutter,Flying,Special,60,95,20
Air Slash,Flying,Special,75,95,16
Brave Bird,Flying,Physical,120,100,16
Copycat,Normal,Status,-,101,20
Double-Edge,Normal,Physical,120,100,16
Dual Wingbeat,Flying,Physical,40,90,12
Endeavor,Normal,Physical,1,100,8
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fake Tears,Dark,Status,-,100,20
Feather Dance,Flying,Status,-,100,16
Final Gambit,Fighting,Special,1,100,8
Flatter,Dark,Status,-,100,16
Fly,Flying,Physical,90,95,16
Foul Play,Dark,Physical,95,100,16
Giga Impact,Normal,Physical,150,90,8
Heat Wave,Fire,Special,95,90,12
Helping Hand,Normal,Status,-,101,20
Hurricane,Flying,Special,110,70,12
Hyper Beam,Normal,Special,150,90,8
Hyper Voice,Normal,Special,90,100,12
Lash Out,Dark,Physical,75,100,8
Lunge,Bug,Physical,80,100,16
Parting Shot,Dark,Status,-,100,20
Pounce,Bug,Physical,50,100,20
Protect,Normal,Status,-,101,8
Quick Attack,Normal,Physical,40,100,20
Rest,Psychic,Status,-,101,8
Reversal,Fighting,Physical,1,100,16
Roost,Flying,Status,-,101,8
Scary Face,Normal,Status,-,100,12
Seed Bomb,Grass,Physical,80,100,16
Sleep Talk,Normal,Status,-,101,12
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Swagger,Normal,Status,-,85,16
Tailwind,Flying,Status,-,101,16
Taunt,Dark,Status,-,100,20
Thief,Dark,Physical,60,100,20
Torment,Dark,Status,-,100,16
U-turn,Bug,Physical,70,100,20
Uproar,Normal,Special,90,100,12
