move_name,type,category,power,accuracy,pp
Agility,Psychic,Status,-,101,20
Alluring Voice,Fairy,Special,80,100,12
Body Slam,Normal,Physical,85,100,16
Brick Break,Fighting,Physical,75,100,16
Charge,Electric,Status,-,101,20
Charge Beam,Electric,Special,50,90,12
Charm,Fairy,Status,-,100,20
Dig,Ground,Physical,80,100,12
Discharge,Electric,Special,80,100,16
Double Team,Normal,Status,-,101,16
Draining Kiss,Fairy,Special,50,100,12
Eerie Impulse,Electric,Status,-,100,16
Electric Terrain,Electric,Status,-,101,12
Electro Ball,Electric,Special,1,100,12
Electroweb,Electric,Special,55,95,16
Encore,Normal,Status,-,100,8
Endeavor,Normal,Physical,1,100,8
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fake Out,Normal,Physical,40,100,12
Fake Tears,Dark,Status,-,100,20
Feint,Normal,Physical,30,100,12
Flail,Normal,Physical,1,100,16
Fling,Dark,Physical,1,100,12
Focus Punch,Fighting,Physical,150,100,20
Grass Knot,Grass,Special,1,100,20
Helping Hand,Normal,Status,-,101,20
Iron Tail,Steel,Physical,100,75,16
Knock Off,Dark,Physical,65,100,20
Light Screen,Psychic,Status,-,101,20
Mega Kick,Normal,Physical,120,75,8
Nasty Plot,Dark,Status,-,101,20
Nuzzle,Electric,Physical,20,100,20
Play Rough,Fairy,Physical,90,90,12
Protect,Normal,Status,-,101,8
Quick Attack,Normal,Physical,40,100,20
Rain Dance,Water,Status,-,101,8
Reflect,Psychic,Status,-,101,20
Rest,Psychic,Status,-,101,8
Reversal,Fighting,Physical,1,100,16
Rising Voltage,Electric,Special,70,100,20
Round,Normal,Special,60,100,16
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Spark,Electric,Physical,65,100,20
Substitute,Normal,Status,-,101,12
Surf,Water,Special,90,100,16
Sweet Kiss,Fairy,Status,-,75,12
Thief,Dark,Physical,60,100,20
Thunder,Electric,Special,110,70,12
Thunder Punch,Electric,Physical,75,100,16
Thunder Wave,Electric,Status,-,90,20
Thunderbolt,Electric,Special,90,100,16
Tickle,Normal,Status,-,100,20
Trailblaze,Grass,Physical,50,100,20
Upper Hand,Fighting,Physical,65,100,16
Volt Switch,Electric,Special,70,100,20
Volt Tackle,Electric,Physical,120,100,16
Wild Charge,Electric,Physical,90,100,16
Wish,Normal,Status,-,101,12
Zap Cannon,Electric,Special,120,50,8
