move_name,type,category,power,accuracy,pp
Aurora Veil,Ice,Status,-,101,20
Avalanche,Ice,Physical,60,100,12
Blizzard,Ice,Special,110,70,8
Body Press,Fighting,Physical,80,100,12
Body Slam,Normal,Physical,85,100,16
Brick Break,Fighting,Physical,75,100,16
Bulldoze,Ground,Physical,60,100,20
Bullet Seed,Grass,Physical,25,100,20
Chilling Water,Water,Special,50,100,20
Curse,Ghost,Status,-,101,12
Double-Edge,Normal,Physical,120,100,16
Earth Power,Ground,Special,90,100,12
Earthquake,Ground,Physical,100,100,12
Endure,Normal,Status,-,101,12
Energy Ball,Grass,Special,90,100,12
Facade,Normal,Physical,70,100,20
Fling,Dark,Physical,1,100,12
Focus Blast,Fighting,Special,120,70,8
Focus Punch,Fighting,Physical,150,100,20
Frost Breath,Ice,Special,60,90,12
Giga Drain,Grass,Special,75,100,12
Giga Impact,Normal,Physical,150,90,8
Grass Knot,Grass,Special,1,100,20
Grassy Glide,Grass,Physical,55,100,20
Growth,Grass,Status,-,101,20
Hard Press,Steel,Physical,1,100,12
Helping Hand,Normal,Status,-,101,20
Hyper Beam,Normal,Special,150,90,8
Ice Beam,Ice,Special,90,100,12
Ice Hammer,Ice,Physical,100,90,12
Ice Punch,Ice,Physical,75,100,16
Ice Shard,Ice,Physical,40,100,20
Ice Spinner,Ice,Physical,80,100,16
Icicle Spear,Ice,Physical,25,100,20
Icy Wind,Ice,Special,55,95,16
Ingrain,Grass,Status,-,101,20
Iron Tail,Steel,Physical,100,75,16
Leaf Storm,Grass,Special,130,90,8
Leech Seed,Grass,Status,-,90,12
Low Kick,Fighting,Physical,1,100,20
Mega Kick,Normal,Physical,120,75,8
Mud-Slap,Ground,Special,20,100,12
Outrage,Dragon,Physical,120,100,12
Protect,Normal,Status,-,101,8
Rain Dance,Water,Status,-,101,8
Rest,Psychic,Status,-,101,8
Rock Slide,Rock,Physical,75,90,12
Rock Tomb,Rock,Physical,60,95,16
Round,Normal,Special,60,100,16
Scary Face,Normal,Status,-,100,12
Seed Bomb,Grass,Physical,80,100,16
Shadow Ball,Ghost,Special,80,100,16
Sheer Cold,Ice,Special,1,30,8
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Snowscape,Ice,Status,-,101,8
Solar Beam,Grass,Special,120,100,12
Stomping Tantrum,Ground,Physical,75,100,12
Substitute,Normal,Status,-,101,12
Swagger,Normal,Status,-,85,16
Swords Dance,Normal,Status,-,101,20
Trailblaze,Grass,Physical,50,100,20
Water Pulse,Water,Special,60,100,20
Weather Ball,Normal,Special,50,100,12
Wood Hammer,Grass,Physical,120,100,16
