move_name,type,category,power,accuracy,pp
Burning Jealousy,Fire,Special,70,100,8
Calm Mind,Psychic,Status,-,101,20
Charge Beam,Electric,Special,50,90,12
Confuse Ray,Ghost,Status,-,100,12
Curse,Ghost,Status,-,101,12
Dark Pulse,Dark,Special,80,100,16
Dazzling Gleam,Fairy,Special,80,100,12
Destiny Bond,Ghost,Status,-,101,8
Disable,Normal,Status,-,100,20
Encore,Normal,Status,-,100,8
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fling,Dark,Physical,1,100,12
Foul Play,Dark,Physical,95,100,16
Giga Impact,Normal,Physical,150,90,8
Gunk Shot,Poison,Physical,120,80,8
Helping Hand,Normal,Status,-,101,20
Hex,Ghost,Special,65,100,12
Hyper Beam,Normal,Special,150,90,8
Icy Wind,Ice,Special,55,95,16
Imprison,Psychic,Status,-,101,12
Knock Off,Dark,Physical,65,100,20
Lash Out,Dark,Physical,75,100,8
Magic Room,Psychic,Status,-,101,12
Nasty Plot,Dark,Status,-,101,20
Night Shade,Ghost,Special,1,100,16
Pain Split,Normal,Status,-,101,20
Payback,Dark,Physical,50,100,12
Phantom Force,Ghost,Physical,90,100,12
Poltergeist,Ghost,Physical,110,90,8
Pounce,Bug,Physical,50,100,20
Protect,Normal,Status,-,101,8
Psych Up,Normal,Status,-,101,12
Psychic,Psychic,Special,90,100,12
Rain Dance,Water,Status,-,101,8
Rest,Psychic,Status,-,101,8
Role Play,Psychic,Status,-,101,12
Round,Normal,Special,60,100,16
Scary Face,Normal,Status,-,100,12
Screech,Normal,Status,-,85,20
Shadow Ball,Ghost,Special,80,100,16
Shadow Claw,Ghost,Physical,70,100,16
Shadow Punch,Ghost,Physical,60,101,20
Shadow Sneak,Ghost,Physical,40,100,20
Skill Swap,Psychic,Status,-,101,12
Skitter Smack,Bug,Physical,70,90,12
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Spite,Ghost,Status,-,100,12
Substitute,Normal,Status,-,101,12
Sucker Punch,Dark,Physical,70,100,8
Sunny Day,Fire,Status,-,101,8
Swagger,Normal,Status,-,85,16
Swords Dance,Normal,Status,-,101,20
Taunt,Dark,Status,-,100,20
Thief,Dark,Physical,60,100,20
Throat Chop,Dark,Physical,80,100,16
Thunder,Electric,Special,110,70,12
Thunder Wave,Electric,Status,-,90,20
Thunderbolt,Electric,Special,90,100,16
Torment,Dark,Status,-,100,16
Trailblaze,Grass,Physical,50,100,20
Trick,Psychic,Status,-,100,12
Trick Room,Psychic,Status,-,101,8
Will-O-Wisp,Fire,Status,-,85,16
Zen Headbutt,Psychic,Physical,80,90,16
