move_name,type,category,power,accuracy,pp
Acrobatics,Flying,Physical,55,100,16
Agility,Psychic,Status,-,101,20
Assurance,Dark,Physical,60,100,12
Attract,Normal,Status,-,100,16
Baton Pass,Normal,Status,-,101,20
Beat Up,Dark,Physical,1,100,12
Burning Jealousy,Fire,Special,70,100,8
Crunch,Dark,Physical,80,100,16
Dark Pulse,Dark,Special,80,100,16
Dig,Ground,Physical,80,100,12
Double Team,Normal,Status,-,101,16
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fake Tears,Dark,Status,-,100,20
Fire Fang,Fire,Physical,65,95,16
First Impression,Bug,Physical,100,100,12
Foul Play,Dark,Physical,95,100,16
Giga Impact,Normal,Physical,150,90,8
Grass Knot,Grass,Special,1,100,20
Howl,Normal,Status,-,101,20
Hyper Beam,Normal,Special,150,90,8
Ice Fang,Ice,Physical,65,95,16
Knock Off,Dark,Physical,65,100,20
Lash Out,Dark,Physical,75,100,8
Mud Shot,Ground,Special,55,95,16
Nasty Plot,Dark,Status,-,101,20
Night Slash,Dark,Physical,70,100,20
Parting Shot,Dark,Status,-,100,20
Play Rough,Fairy,Physical,90,90,12
Protect,Normal,Status,-,101,8
Psychic,Psychic,Special,90,100,12
Quick Attack,Normal,Physical,40,100,20
Quick Guard,Fighting,Status,-,101,16
Rest,Psychic,Status,-,101,8
Roar,Normal,Status,-,101,20
Round,Normal,Special,60,100,16
Screech,Normal,Status,-,85,20
Shadow Ball,Ghost,Special,80,100,16
Shadow Claw,Ghost,Physical,70,100,16
Sleep Talk,Normal,Status,-,101,12
Snarl,Dark,Special,55,95,16
Snore,Normal,Special,50,100,16
Substitute,Normal,Status,-,101,12
Sucker Punch,Dark,Physical,70,100,8
Tail Slap,Normal,Physical,25,85,12
Taunt,Dark,Status,-,100,20
Thief,Dark,Physical,60,100,20
Thunder Fang,Electric,Physical,65,95,16
Torment,Dark,Status,-,100,16
Trailblaze,Grass,Physical,50,100,20
U-turn,Bug,Physical,70,100,20
