move_name,type,category,power,accuracy,pp
Aerial Ace,Flying,Physical,60,101,20
Agility,Psychic,Status,-,101,20
Air Cutter,Flying,Special,60,95,20
Air Slash,Flying,Special,75,95,16
Assurance,Dark,Physical,60,100,12
Body Press,Fighting,Physical,80,100,12
Body Slam,Normal,Physical,85,100,16
Brave Bird,Flying,Physical,120,100,16
Bulk Up,Fighting,Status,-,101,20
Curse,Ghost,Status,-,101,12
Defog,Flying,Status,-,101,16
Double-Edge,Normal,Physical,120,100,16
Drill Peck,Flying,Physical,80,100,20
Dual Wingbeat,Flying,Physical,40,90,12
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fake Tears,Dark,Status,-,100,20
Feather Dance,Flying,Status,-,100,16
Flash Cannon,Steel,Special,80,100,12
Fly,Flying,Physical,90,95,16
Focus Energy,Normal,Status,-,101,20
Giga Impact,Normal,Physical,150,90,8
Heavy Slam,Steel,Physical,1,100,12
Hurricane,Flying,Special,110,70,12
Hyper Beam,Normal,Special,150,90,8
Iron Defense,Steel,Status,-,101,16
Iron Head,Steel,Physical,80,100,16
Light Screen,Psychic,Status,-,101,20
Metal Sound,Steel,Status,-,85,20
Nasty Plot,Dark,Status,-,101,20
Payback,Dark,Physical,50,100,12
Pluck,Flying,Physical,60,100,20
Power Trip,Dark,Physical,20,100,12
Protect,Normal,Status,-,101,8
Rain Dance,Water,Status,-,101,8
Reflect,Psychic,Status,-,101,20
Rest,Psychic,Status,-,101,8
Reversal,Fighting,Physical,1,100,16
Roost,Flying,Status,-,101,8
Round,Normal,Special,60,100,16
Scary Face,Normal,Status,-,100,12
Screech,Normal,Status,-,85,20
Sky Attack,Flying,Physical,140,90,8
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Spite,Ghost,Status,-,100,12
Steel Beam,Steel,Special,140,95,8
Steel Wing,Steel,Physical,70,90,20
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Swagger,Normal,Status,-,85,16
Tailwind,Flying,Status,-,101,16
Taunt,Dark,Status,-,100,20
Thief,Dark,Physical,60,100,20
U-turn,Bug,Physical,70,100,20
