move_name,type,category,power,accuracy,pp
Aerial Ace,Flying,Physical,60,101,20
Agility,Psychic,Status,-,101,20
Air Cutter,Flying,Special,60,95,20
Air Slash,Flying,Special,75,95,16
Aqua Jet,Water,Physical,40,100,20
Aqua Ring,Water,Status,-,101,20
Attract,Normal,Status,-,100,16
Avalanche,Ice,Physical,60,100,12
Blizzard,Ice,Special,110,70,8
Body Slam,Normal,Physical,85,100,16
Brick Break,Fighting,Physical,75,100,16
Bulldoze,Ground,Physical,60,100,20
Charm,Fairy,Status,-,100,20
Chilling Water,Water,Special,50,100,20
Dig,Ground,Physical,80,100,12
Dive,Water,Physical,80,100,12
Double-Edge,Normal,Physical,120,100,16
Drill Peck,Flying,Physical,80,100,20
Dual Wingbeat,Flying,Physical,40,90,12
Earthquake,Ground,Physical,100,100,12
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Feather Dance,Flying,Status,-,100,16
Flash Cannon,Steel,Special,80,100,12
Fling,Dark,Physical,1,100,12
Flip Turn,Water,Physical,60,100,20
Giga Impact,Normal,Physical,150,90,8
Grass Knot,Grass,Special,1,100,20
Haze,Ice,Status,-,101,20
Helping Hand,Normal,Status,-,101,20
Hydro Cannon,Water,Special,150,90,8
Hydro Pump,Water,Special,110,80,8
Hyper Beam,Normal,Special,150,90,8
Ice Beam,Ice,Special,90,100,12
Ice Spinner,Ice,Physical,80,100,16
Icy Wind,Ice,Special,55,95,16
Iron Defense,Steel,Status,-,101,16
Knock Off,Dark,Physical,65,100,20
Lash Out,Dark,Physical,75,100,8
Liquidation,Water,Physical,85,100,12
Metal Sound,Steel,Status,-,85,20
Mud-Slap,Ground,Special,20,100,12
Power Trip,Dark,Physical,20,100,12
Protect,Normal,Status,-,101,8
Psych Up,Normal,Status,-,101,12
Rain Dance,Water,Status,-,101,8
Rest,Psychic,Status,-,101,8
Roar,Normal,Status,-,101,20
Rock Slide,Rock,Physical,75,90,12
Rock Tomb,Rock,Physical,60,95,16
Roost,Flying,Status,-,101,8
Round,Normal,Special,60,100,16
Scary Face,Normal,Status,-,100,12
Shadow Claw,Ghost,Physical,70,100,16
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Snowscape,Ice,Status,-,101,8
Stealth Rock,Rock,Status,-,101,20
Steel Beam,Steel,Special,140,95,8
Steel Wing,Steel,Physical,70,90,20
Substitute,Normal,Status,-,101,12
Surf,Water,Special,90,100,16
Swagger,Normal,Status,-,85,16
Swords Dance,Normal,Status,-,101,20
Throat Chop,Dark,Physical,80,100,16
Triple Axel,Ice,Physical,20,90,12
Uproar,Normal,Special,90,100,12
Vacuum Wave,Fighting,Special,40,100,20
Water Pulse,Water,Special,60,100,20
Waterfall,Water,Physical,80,100,16
Wave Crash,Water,Physical,120,100,12
Weather Ball,Normal,Special,50,100,12
Whirlpool,Water,Special,35,85,16
Yawn,Normal,Status,-,101,12
