move_name,type,category,power,accuracy,pp
Ancient Power,Rock,Special,60,100,8
Attract,Normal,Status,-,100,16
Aurora Veil,Ice,Status,-,101,20
Avalanche,Ice,Physical,60,100,12
Blizzard,Ice,Special,110,70,8
Body Slam,Normal,Physical,85,100,16
Bulldoze,Ground,Physical,60,100,20
Calm Mind,Psychic,Status,-,101,20
Chilling Water,Water,Special,50,100,20
Dark Pulse,Dark,Special,80,100,16
Discharge,Electric,Special,80,100,16
Earth Power,Ground,Special,90,100,12
Earthquake,Ground,Physical,100,100,12
Encore,Normal,Status,-,100,8
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Flash Cannon,Steel,Special,80,100,12
Freeze-Dry,Ice,Special,70,100,20
Giga Impact,Normal,Physical,150,90,8
Haze,Ice,Status,-,101,20
Hyper Beam,Normal,Special,150,90,8
Hyper Voice,Normal,Special,90,100,12
Ice Beam,Ice,Special,90,100,12
Ice Spinner,Ice,Physical,80,100,16
Icicle Spear,Ice,Physical,25,100,20
Icy Wind,Ice,Special,55,95,16
Iron Defense,Steel,Status,-,101,16
Iron Head,Steel,Physical,80,100,16
Iron Tail,Steel,Physical,100,75,16
Light Screen,Psychic,Status,-,101,20
Meteor Beam,Rock,Special,120,90,12
Mirror Coat,Psychic,Special,1,100,20
Mud Shot,Ground,Special,55,95,16
Outrage,Dragon,Physical,120,100,12
Protect,Normal,Status,-,101,8
Psychic,Psychic,Special,90,100,12
Rain Dance,Water,Status,-,101,8
Reflect,Psychic,Status,-,101,20
Rest,Psychic,Status,-,101,8
Rock Blast,Rock,Physical,25,90,12
Rock Slide,Rock,Physical,75,90,12
Rock Tomb,Rock,Physical,60,95,16
Round,Normal,Special,60,100,16
Safeguard,Normal,Status,-,101,20
Sandstorm,Rock,Status,-,101,8
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Snowscape,Ice,Status,-,101,8
Stealth Rock,Rock,Status,-,101,20
Stone Edge,Rock,Physical,100,80,8
Substitute,Normal,Status,-,101,12
Thunder,Electric,Special,110,70,12
Thunder Wave,Electric,Status,-,90,20
Thunderbolt,Electric,Special,90,100,16
Weather Ball,Normal,Special,50,100,12
Zen Headbutt,Psychic,Physical,80,90,16
