move_name,type,category,power,accuracy,pp
Acupressure,Normal,Status,-,101,20
Aerial Ace,Flying,Physical,60,101,20
Baton Pass,Normal,Status,-,101,20
Brutal Swing,Dark,Physical,60,100,20
Calm Mind,Psychic,Status,-,101,20
Dark Pulse,Dark,Special,80,100,16
Destiny Bond,Ghost,Status,-,101,8
Disable,Normal,Status,-,100,20
Double Hit,Normal,Physical,35,90,12
Double Team,Normal,Status,-,101,16
Endure,Normal,Status,-,101,12
Expanding Force,Psychic,Special,80,100,12
Facade,Normal,Physical,70,100,20
Fake Tears,Dark,Status,-,100,20
Flamethrower,Fire,Special,90,100,16
Fling,Dark,Physical,1,100,12
Foul Play,Dark,Physical,95,100,16
Future Sight,Psychic,Special,120,100,12
Giga Impact,Normal,Physical,150,90,8
Gravity,Psychic,Status,-,101,8
Guard Swap,Psychic,Status,-,101,12
Helping Hand,Normal,Status,-,101,20
Hyper Beam,Normal,Special,150,90,8
Hypnosis,Psychic,Status,-,60,20
Knock Off,Dark,Physical,65,100,20
Lash Out,Dark,Physical,75,100,8
Light Screen,Psychic,Status,-,101,20
Liquidation,Water,Physical,85,100,12
Lunge,Bug,Physical,80,100,16
Nasty Plot,Dark,Status,-,101,20
Night Slash,Dark,Physical,70,100,20
Payback,Dark,Physical,50,100,12
Pluck,Flying,Physical,60,100,20
Poison Jab,Poison,Physical,80,100,20
Protect,Normal,Status,-,101,8
Psych Up,Normal,Status,-,101,12
Psychic,Psychic,Special,90,100,12
Psychic Noise,Psychic,Special,75,100,12
Psycho Cut,Psychic,Physical,70,100,20
Psyshock,Psychic,Special,80,100,12
Rain Dance,Water,Status,-,101,8
Reflect,Psychic,Status,-,101,20
Rest,Psychic,Status,-,101,8
Reversal,Fighting,Physical,1,100,16
Rock Slide,Rock,Physical,75,90,12
Round,Normal,Special,60,100,16
Scary Face,Normal,Status,-,100,12
Skill Swap,Psychic,Status,-,101,12
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Spite,Ghost,Status,-,100,12
Stored Power,Psychic,Special,20,100,12
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Superpower,Fighting,Physical,120,100,8
Swagger,Normal,Status,-,85,16
Switcheroo,Dark,Status,-,100,12
Taunt,Dark,Status,-,100,20
Thief,Dark,Physical,60,100,20
Throat Chop,Dark,Physical,80,100,16
Thunderbolt,Electric,Special,90,100,16
Topsy-Turvy,Dark,Status,-,101,20
Torment,Dark,Status,-,100,16
Trailblaze,Grass,Physical,50,100,20
Trick,Psychic,Status,-,100,12
Trick Room,Psychic,Status,-,101,8
Wrap,Normal,Physical,15,90,20
Zen Headbutt,Psychic,Physical,80,90,16
