move_name,type,category,power,accuracy,pp
Acid Armor,Poison,Status,-,101,20
Ally Switch,Psychic,Status,-,101,16
Astonish,Ghost,Physical,30,100,16
Attract,Normal,Status,-,100,16
Aurora Veil,Ice,Status,-,101,20
Autotomize,Steel,Status,-,101,16
Avalanche,Ice,Physical,60,100,12
Beat Up,Dark,Physical,1,100,12
Blizzard,Ice,Special,110,70,8
Chilling Water,Water,Special,50,100,20
Endure,Normal,Status,-,101,12
Explosion,Normal,Physical,250,100,8
Facade,Normal,Physical,70,100,20
Flash Cannon,Steel,Special,80,100,12
Freeze-Dry,Ice,Special,70,100,20
Frost Breath,Ice,Special,60,90,12
Giga Impact,Normal,Physical,150,90,8
Hyper Beam,Normal,Special,150,90,8
Hyper Voice,Normal,Special,90,100,12
Ice Beam,Ice,Special,90,100,12
Ice Shard,Ice,Physical,40,100,20
Ice Spinner,Ice,Physical,80,100,16
Icicle Crash,Ice,Physical,85,90,12
Icicle Spear,Ice,Physical,25,100,20
Icy Wind,Ice,Special,55,95,16
Imprison,Psychic,Status,-,101,12
Iron Defense,Steel,Status,-,101,16
Light Screen,Psychic,Status,-,101,20
Magnet Rise,Electric,Status,-,101,12
Mirror Coat,Psychic,Special,1,100,20
Protect,Normal,Status,-,101,8
Rain Dance,Water,Status,-,101,8
Rest,Psychic,Status,-,101,8
Round,Normal,Special,60,100,16
Self-Destruct,Normal,Physical,200,100,8
Sheer Cold,Ice,Special,1,30,8
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Snowscape,Ice,Status,-,101,8
Substitute,Normal,Status,-,101,12
Taunt,Dark,Status,-,100,20
Uproar,Normal,Special,90,100,12
Weather Ball,Normal,Special,50,100,12
