move_name,type,category,power,accuracy,pp
Aqua Jet,Water,Physical,40,100,20
Aqua Ring,Water,Status,-,101,20
Aqua Tail,Water,Physical,90,90,12
Aura Sphere,Fighting,Special,80,101,20
Avalanche,Ice,Physical,60,100,12
Bite,Dark,Physical,60,100,20
Blizzard,Ice,Special,110,70,8
Body Press,Fighting,Physical,80,100,12
Body Slam,Normal,Physical,85,100,16
Brick Break,Fighting,Physical,75,100,16
Bulldoze,Ground,Physical,60,100,20
Chilling Water,Water,Special,50,100,20
Crunch,Dark,Physical,80,100,16
Dark Pulse,Dark,Special,80,100,16
Dig,Ground,Physical,80,100,12
Dive,Water,Physical,80,100,12
Double-Edge,Normal,Physical,120,100,16
Dragon Pulse,Dragon,Special,85,100,12
Earthquake,Ground,Physical,100,100,12
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fake Out,Normal,Physical,40,100,12
Flail,Normal,Physical,1,100,16
Flash Cannon,Steel,Special,80,100,12
Fling,Dark,Physical,1,100,12
Flip Turn,Water,Physical,60,100,20
Focus Blast,Fighting,Special,120,70,8
Focus Punch,Fighting,Physical,150,100,20
Giga Impact,Normal,Physical,150,90,8
Gyro Ball,Steel,Physical,1,100,8
Haze,Ice,Status,-,101,20
Helping Hand,Normal,Status,-,101,20
Hydro Cannon,Water,Special,150,90,8
Hydro Pump,Water,Special,110,80,8
Hyper Beam,Normal,Special,150,90,8
Ice Beam,Ice,Special,90,100,12
Ice Punch,Ice,Physical,75,100,16
Ice Spinner,Ice,Physical,80,100,16
Icy Wind,Ice,Special,55,95,16
Iron Defense,Steel,Status,-,101,16
Iron Head,Steel,Physical,80,100,16
Iron Tail,Steel,Physical,100,75,16
Life Dew,Water,Status,-,101,12
Liquidation,Water,Physical,85,100,12
Mega Kick,Normal,Physical,120,75,8
Mirror Coat,Psychic,Special,1,100,20
Mud Shot,Ground,Special,55,95,16
Muddy Water,Water,Special,90,85,12
Outrage,Dragon,Physical,120,100,12
Protect,Normal,Status,-,101,8
Rain Dance,Water,Status,-,101,8
Rapid Spin,Normal,Physical,50,100,20
Rest,Psychic,Status,-,101,8
Roar,Normal,Status,-,101,20
Rock Slide,Rock,Physical,75,90,12
Rock Tomb,Rock,Physical,60,95,16
Round,Normal,Special,60,100,16
Scary Face,Normal,Status,-,100,12
Shell Smash,Normal,Status,-,101,16
Sleep Talk,Normal,Status,-,101,12
Smack Down,Rock,Physical,50,100,16
Snore,Normal,Special,50,100,16
Substitute,Normal,Status,-,101,12
Surf,Water,Special,90,100,16
Terrain Pulse,Normal,Special,50,100,12
Water Pulse,Water,Special,60,100,20
Water Spout,Water,Special,150,100,8
Waterfall,Water,Physical,80,100,16
Wave Crash,Water,Physical,120,100,12
Weather Ball,Normal,Special,50,100,12
Whirlpool,Water,Special,35,85,16
Yawn,Normal,Status,-,101,12
Zen Headbutt,Psychic,Physical,80,90,16
