move_name,type,category,power,accuracy,pp
Agility,Psychic,Status,-,101,20
Aqua Jet,Water,Physical,40,100,20
Assurance,Dark,Physical,60,100,12
Attract,Normal,Status,-,100,16
Blizzard,Ice,Special,110,70,8
Brick Break,Fighting,Physical,75,100,16
Bug Bite,Bug,Physical,60,100,20
Bug Buzz,Bug,Special,90,100,12
Bulk Up,Fighting,Status,-,101,20
Chilling Water,Water,Special,50,100,20
Close Combat,Fighting,Physical,120,100,8
Dark Pulse,Dark,Special,80,100,16
Dive,Water,Physical,80,100,12
Double Hit,Normal,Physical,35,90,12
Drill Run,Ground,Physical,80,95,12
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
First Impression,Bug,Physical,100,100,12
Fling,Dark,Physical,1,100,12
Focus Blast,Fighting,Special,120,70,8
Giga Impact,Normal,Physical,150,90,8
Gunk Shot,Poison,Physical,120,80,8
Hyper Beam,Normal,Special,150,90,8
Ice Beam,Ice,Special,90,100,12
Icy Wind,Ice,Special,55,95,16
Iron Defense,Steel,Status,-,101,16
Iron Head,Steel,Physical,80,100,16
Leech Life,Bug,Physical,80,100,12
Liquidation,Water,Physical,85,100,12
Mud Shot,Ground,Special,55,95,16
Muddy Water,Water,Special,90,85,12
Night Slash,Dark,Physical,70,100,20
Payback,Dark,Physical,50,100,12
Pin Missile,Bug,Physical,25,95,20
Poison Jab,Poison,Physical,80,100,20
Pounce,Bug,Physical,50,100,20
Protect,Normal,Status,-,101,8
Rain Dance,Water,Status,-,101,8
Razor Shell,Water,Physical,75,95,12
Rest,Psychic,Status,-,101,8
Rock Slide,Rock,Physical,75,90,12
Rock Tomb,Rock,Physical,60,95,16
Round,Normal,Special,60,100,16
Scald,Water,Special,80,100,16
Screech,Normal,Status,-,85,20
Shadow Claw,Ghost,Physical,70,100,16
Skitter Smack,Bug,Physical,70,90,12
Slash,Normal,Physical,80,100,20
Sleep Talk,Normal,Status,-,101,12
Sludge Bomb,Poison,Special,90,100,12
Sludge Wave,Poison,Special,95,100,12
Snarl,Dark,Special,55,95,16
Snore,Normal,Special,50,100,16
Spikes,Ground,Status,-,101,20
Spite,Ghost,Status,-,100,12
Struggle Bug,Bug,Special,50,100,20
Substitute,Normal,Status,-,101,12
Sucker Punch,Dark,Physical,70,100,8
Surf,Water,Special,90,100,16
Swords Dance,Normal,Status,-,101,20
Taunt,Dark,Status,-,100,20
Throat Chop,Dark,Physical,80,100,16
U-turn,Bug,Physical,70,100,20
Venoshock,Poison,Special,65,100,12
Waterfall,Water,Physical,80,100,16
Wide Guard,Rock,Status,-,101,12
X-Scissor,Bug,Physical,80,100,16
