move_name,type,category,power,accuracy,pp
Aurora Veil,Ice,Status,-,101,20
Avalanche,Ice,Physical,60,100,12
Bite,Dark,Physical,60,100,20
Blizzard,Ice,Special,110,70,8
Body Press,Fighting,Physical,80,100,12
Body Slam,Normal,Physical,85,100,16
Bulldoze,Ground,Physical,60,100,20
Chilling Water,Water,Special,50,100,20
Crunch,Dark,Physical,80,100,16
Curse,Ghost,Status,-,101,12
Double-Edge,Normal,Physical,120,100,16
Earthquake,Ground,Physical,100,100,12
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Flash Cannon,Steel,Special,80,100,12
Frost Breath,Ice,Special,60,90,12
Giga Impact,Normal,Physical,150,90,8
Gyro Ball,Steel,Physical,1,100,8
Heavy Slam,Steel,Physical,1,100,12
High Horsepower,Ground,Physical,95,95,12
Hydro Pump,Water,Special,110,80,8
Hyper Beam,Normal,Special,150,90,8
Ice Beam,Ice,Special,90,100,12
Ice Fang,Ice,Physical,65,95,16
Ice Spinner,Ice,Physical,80,100,16
Icicle Crash,Ice,Physical,85,90,12
Icicle Spear,Ice,Physical,25,100,20
Icy Wind,Ice,Special,55,95,16
Iron Defense,Steel,Status,-,101,16
Iron Head,Steel,Physical,80,100,16
Mirror Coat,Psychic,Special,1,100,20
Protect,Normal,Status,-,101,8
Rain Dance,Water,Status,-,101,8
Rapid Spin,Normal,Physical,50,100,20
Recover,Normal,Status,-,101,8
Rest,Psychic,Status,-,101,8
Rock Slide,Rock,Physical,75,90,12
Rock Tomb,Rock,Physical,60,95,16
Round,Normal,Special,60,100,16
Scary Face,Normal,Status,-,100,12
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Snowscape,Ice,Status,-,101,8
Stomping Tantrum,Ground,Physical,75,100,12
Stone Edge,Rock,Physical,100,80,8
Substitute,Normal,Status,-,101,12
Superpower,Fighting,Physical,120,100,8
Surf,Water,Special,90,100,16
Wide Guard,Rock,Status,-,101,12
