move_name,type,category,power,accuracy,pp
Acrobatics,Flying,Physical,55,100,16
Air Cutter,Flying,Special,60,95,20
Air Slash,Flying,Special,75,95,16
Amnesia,Psychic,Status,-,101,20
Body Slam,Normal,Physical,85,100,16
Bug Bite,Bug,Physical,60,100,20
Bug Buzz,Bug,Special,90,100,12
Calm Mind,Psychic,Status,-,101,20
Double-Edge,Normal,Physical,120,100,16
Dual Wingbeat,Flying,Physical,40,90,12
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fiery Dance,Fire,Special,80,100,12
Fire Blast,Fire,Special,110,85,8
Fire Spin,Fire,Special,35,85,16
Flame Charge,Fire,Physical,50,100,20
Flame Wheel,Fire,Physical,60,100,20
Flamethrower,Fire,Special,90,100,16
Flare Blitz,Fire,Physical,120,100,16
Fly,Flying,Physical,90,95,16
Giga Drain,Grass,Special,75,100,12
Giga Impact,Normal,Physical,150,90,8
Harden,Normal,Status,-,101,20
Heat Wave,Fire,Special,95,90,12
Hurricane,Flying,Special,110,70,12
Hyper Beam,Normal,Special,150,90,8
Leech Life,Bug,Physical,80,100,12
Light Screen,Psychic,Status,-,101,20
Lunge,Bug,Physical,80,100,16
Morning Sun,Normal,Status,-,101,8
Mystical Fire,Fire,Special,75,100,12
Overheat,Fire,Special,130,90,8
Poison Jab,Poison,Physical,80,100,20
Pounce,Bug,Physical,50,100,20
Protect,Normal,Status,-,101,8
Psychic,Psychic,Special,90,100,12
Quiver Dance,Bug,Status,-,101,20
Rage Powder,Bug,Status,-,101,20
Rain Dance,Water,Status,-,101,8
Rest,Psychic,Status,-,101,8
Round,Normal,Special,60,100,16
Safeguard,Normal,Status,-,101,20
Screech,Normal,Status,-,85,20
Skitter Smack,Bug,Physical,70,90,12
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Solar Beam,Grass,Special,120,100,12
String Shot,Bug,Status,-,95,20
Struggle Bug,Bug,Special,50,100,20
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Tailwind,Flying,Status,-,101,16
Thrash,Normal,Physical,120,100,12
Trailblaze,Grass,Physical,50,100,20
U-turn,Bug,Physical,70,100,20
Whirlwind,Normal,Status,-,101,20
Wild Charge,Electric,Physical,90,100,16
Will-O-Wisp,Fire,Status,-,85,16
Zen Headbutt,Psychic,Physical,80,90,16
