move_name,type,category,power,accuracy,pp
Alluring Voice,Fairy,Special,80,100,12
Baby-Doll Eyes,Fairy,Status,-,100,20
Baton Pass,Normal,Status,-,101,20
Bite,Dark,Physical,60,100,20
Body Slam,Normal,Physical,85,100,16
Burning Jealousy,Fire,Special,70,100,8
Calm Mind,Psychic,Status,-,101,20
Charm,Fairy,Status,-,100,20
Copycat,Normal,Status,-,101,20
Covet,Normal,Physical,60,100,20
Curse,Ghost,Status,-,101,12
Detect,Fighting,Status,-,101,8
Dig,Ground,Physical,80,100,12
Double-Edge,Normal,Physical,120,100,16
Endeavor,Normal,Physical,1,100,8
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fake Tears,Dark,Status,-,100,20
Fire Blast,Fire,Special,110,85,8
Fire Fang,Fire,Physical,65,95,16
Fire Spin,Fire,Special,35,85,16
Flail,Normal,Physical,1,100,16
Flame Charge,Fire,Physical,50,100,20
Flamethrower,Fire,Special,90,100,16
Flare Blitz,Fire,Physical,120,100,16
Focus Energy,Normal,Status,-,101,20
Giga Impact,Normal,Physical,150,90,8
Heat Wave,Fire,Special,95,90,12
Helping Hand,Normal,Status,-,101,20
Hyper Beam,Normal,Special,150,90,8
Hyper Voice,Normal,Special,90,100,12
Last Resort,Normal,Physical,140,100,8
Lava Plume,Fire,Special,80,100,16
Mud-Slap,Ground,Special,20,100,12
Overheat,Fire,Special,130,90,8
Protect,Normal,Status,-,101,8
Quick Attack,Normal,Physical,40,100,20
Rain Dance,Water,Status,-,101,8
Rest,Psychic,Status,-,101,8
Roar,Normal,Status,-,101,20
Round,Normal,Special,60,100,16
Scary Face,Normal,Status,-,100,12
Scorching Sands,Ground,Special,70,100,12
Shadow Ball,Ghost,Special,80,100,16
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Stored Power,Psychic,Special,20,100,12
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Superpower,Fighting,Physical,120,100,8
Temper Flare,Fire,Physical,75,100,12
Tickle,Normal,Status,-,100,20
Trailblaze,Grass,Physical,50,100,20
Weather Ball,Normal,Special,50,100,12
Will-O-Wisp,Fire,Status,-,85,16
Wish,Normal,Status,-,101,12
Yawn,Normal,Status,-,101,12
