move_name,type,category,power,accuracy,pp
Ancient Power,Rock,Special,60,100,8
Attract,Normal,Status,-,100,16
Autotomize,Steel,Status,-,101,16
Bind,Normal,Physical,15,85,20
Block,Normal,Status,-,101,8
Body Press,Fighting,Physical,80,100,12
Body Slam,Normal,Physical,85,100,16
Breaking Swipe,Dragon,Physical,60,100,16
Brutal Swing,Dark,Physical,60,100,20
Bulldoze,Ground,Physical,60,100,20
Crunch,Dark,Physical,80,100,16
Curse,Ghost,Status,-,101,12
Dark Pulse,Dark,Special,80,100,16
Dig,Ground,Physical,80,100,12
Double-Edge,Normal,Physical,120,100,16
Dragon Dance,Dragon,Status,-,101,20
Dragon Pulse,Dragon,Special,85,100,12
Dragon Tail,Dragon,Physical,60,90,12
Drill Run,Ground,Physical,80,95,12
Earth Power,Ground,Special,90,100,12
Earthquake,Ground,Physical,100,100,12
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fire Fang,Fire,Physical,65,95,16
Fissure,Ground,Physical,1,30,8
Flail,Normal,Physical,1,100,16
Flash Cannon,Steel,Special,80,100,12
Giga Impact,Normal,Physical,150,90,8
Gyro Ball,Steel,Physical,1,100,8
Head Smash,Rock,Physical,150,80,8
Heavy Slam,Steel,Physical,1,100,12
High Horsepower,Ground,Physical,95,95,12
Hyper Beam,Normal,Special,150,90,8
Ice Fang,Ice,Physical,65,95,16
Iron Defense,Steel,Status,-,101,16
Iron Head,Steel,Physical,80,100,16
Iron Tail,Steel,Physical,100,75,16
Magnet Rise,Electric,Status,-,101,12
Meteor Beam,Rock,Special,120,90,12
Payback,Dark,Physical,50,100,12
Protect,Normal,Status,-,101,8
Psychic Fangs,Psychic,Physical,85,100,12
Rest,Psychic,Status,-,101,8
Rock Blast,Rock,Physical,25,90,12
Rock Polish,Rock,Status,-,101,20
Rock Slide,Rock,Physical,75,90,12
Rock Tomb,Rock,Physical,60,95,16
Round,Normal,Special,60,100,16
Sand Tomb,Ground,Physical,35,85,16
Sandstorm,Rock,Status,-,101,8
Scary Face,Normal,Status,-,100,12
Scorching Sands,Ground,Special,70,100,12
Screech,Normal,Status,-,85,20
Self-Destruct,Normal,Physical,200,100,8
Sleep Talk,Normal,Status,-,101,12
Smack Down,Rock,Physical,50,100,16
Snore,Normal,Special,50,100,16
Stealth Rock,Rock,Status,-,101,20
Steel Beam,Steel,Special,140,95,8
Steel Roller,Steel,Physical,130,100,8
Stomping Tantrum,Ground,Physical,75,100,12
Stone Edge,Rock,Physical,100,80,8
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Taunt,Dark,Status,-,100,20
Thunder Fang,Electric,Physical,65,95,16
Wide Guard,Rock,Status,-,101,12
