move_name,type,category,power,accuracy,pp
Aura Sphere,Fighting,Special,80,101,20
Body Slam,Normal,Physical,85,100,16
Breaking Swipe,Dragon,Physical,60,100,16
Brick Break,Fighting,Physical,75,100,16
Dark Pulse,Dark,Special,80,100,16
Double-Edge,Normal,Physical,120,100,16
Draco Meteor,Dragon,Special,130,90,8
Dragon Cheer,Dragon,Status,-,101,16
Dragon Claw,Dragon,Physical,80,100,16
Dragon Pulse,Dragon,Special,85,100,12
Dragon Tail,Dragon,Physical,60,90,12
Earthquake,Ground,Physical,100,100,12
Electro Shot,Electric,Special,130,100,12
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Flash Cannon,Steel,Special,80,100,12
Focus Energy,Normal,Status,-,101,20
Foul Play,Dark,Physical,95,100,16
Giga Impact,Normal,Physical,150,90,8
Gyro Ball,Steel,Physical,1,100,8
Hard Press,Steel,Physical,1,100,12
Heavy Slam,Steel,Physical,1,100,12
Hyper Beam,Normal,Special,150,90,8
Iron Defense,Steel,Status,-,101,16
Iron Head,Steel,Physical,80,100,16
Light Screen,Psychic,Status,-,101,20
Metal Burst,Steel,Physical,1,100,12
Metal Sound,Steel,Status,-,85,20
Meteor Beam,Rock,Special,120,90,12
Mirror Coat,Psychic,Special,1,100,20
Night Slash,Dark,Physical,70,100,20
Outrage,Dragon,Physical,120,100,12
Protect,Normal,Status,-,101,8
Reflect,Psychic,Status,-,101,20
Rest,Psychic,Status,-,101,8
Roar,Normal,Status,-,101,20
Rock Slide,Rock,Physical,75,90,12
Rock Tomb,Rock,Physical,60,95,16
Scary Face,Normal,Status,-,100,12
Sleep Talk,Normal,Status,-,101,12
Smack Down,Rock,Physical,50,100,16
Snarl,Dark,Special,55,95,16
Solar Beam,Grass,Special,120,100,12
Stealth Rock,Rock,Status,-,101,20
Steel Beam,Steel,Special,140,95,8
Stone Edge,Rock,Physical,100,80,8
Substitute,Normal,Status,-,101,12
Swords Dance,Normal,Status,-,101,20
Thunder,Electric,Special,110,70,12
Thunder Wave,Electric,Status,-,90,20
Thunderbolt,Electric,Special,90,100,16
