move_name,type,category,power,accuracy,pp
Acrobatics,Flying,Physical,55,100,16
Alluring Voice,Fairy,Special,80,100,12
Amnesia,Psychic,Status,-,101,20
Aqua Jet,Water,Physical,40,100,20
Aqua Ring,Water,Status,-,101,20
Attract,Normal,Status,-,100,16
Baby-Doll Eyes,Fairy,Status,-,100,20
Blizzard,Ice,Special,110,70,8
Body Slam,Normal,Physical,85,100,16
Calm Mind,Psychic,Status,-,101,20
Charm,Fairy,Status,-,100,20
Chilling Water,Water,Special,50,100,20
Dazzling Gleam,Fairy,Special,80,100,12
Disarming Voice,Fairy,Special,40,101,16
Dive,Water,Physical,80,100,12
Draining Kiss,Fairy,Special,50,100,12
Encore,Normal,Status,-,100,8
Endure,Normal,Status,-,101,12
Energy Ball,Grass,Special,90,100,12
Facade,Normal,Physical,70,100,20
Flip Turn,Water,Physical,60,100,20
Giga Impact,Normal,Physical,150,90,8
Haze,Ice,Status,-,101,20
Helping Hand,Normal,Status,-,101,20
Hydro Cannon,Water,Special,150,90,8
Hydro Pump,Water,Special,110,80,8
Hyper Beam,Normal,Special,150,90,8
Hyper Voice,Normal,Special,90,100,12
Ice Beam,Ice,Special,90,100,12
Ice Spinner,Ice,Physical,80,100,16
Icy Wind,Ice,Special,55,95,16
Iron Tail,Steel,Physical,100,75,16
Life Dew,Water,Status,-,101,12
Light Screen,Psychic,Status,-,101,20
Liquidation,Water,Physical,85,100,12
Misty Explosion,Fairy,Special,100,100,8
Misty Terrain,Fairy,Status,-,101,12
Moonblast,Fairy,Special,95,100,16
Perish Song,Normal,Status,-,101,8
Play Rough,Fairy,Physical,90,90,12
Protect,Normal,Status,-,101,8
Psych Up,Normal,Status,-,101,12
Psychic,Psychic,Special,90,100,12
Psychic Noise,Psychic,Special,75,100,12
Rain Dance,Water,Status,-,101,8
Reflect,Psychic,Status,-,101,20
Rest,Psychic,Status,-,101,8
Round,Normal,Special,60,100,16
Shadow Ball,Ghost,Special,80,100,16
Sing,Normal,Status,-,55,16
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Snowscape,Ice,Status,-,101,8
Sparkling Aria,Water,Special,90,100,12
Stored Power,Psychic,Special,20,100,12
Substitute,Normal,Status,-,101,12
Surf,Water,Special,90,100,16
Triple Axel,Ice,Physical,20,90,12
Uproar,Normal,Special,90,100,12
Water Pulse,Water,Special,60,100,20
Waterfall,Water,Physical,80,100,16
Weather Ball,Normal,Special,50,100,12
Whirlpool,Water,Special,35,85,16
Wonder Room,Psychic,Status,-,101,12
