move_name,type,category,power,accuracy,pp
Acrobatics,Flying,Physical,55,100,16
Aerial Ace,Flying,Physical,60,101,20
Air Cutter,Flying,Special,60,95,20
Air Slash,Flying,Special,75,95,16
Attract,Normal,Status,-,100,16
Beak Blast,Flying,Physical,120,100,8
Boomburst,Normal,Special,140,100,12
Brave Bird,Flying,Physical,120,100,16
Brick Break,Fighting,Physical,75,100,16
Bullet Seed,Grass,Physical,25,100,20
Drill Peck,Flying,Physical,80,100,20
Dual Wingbeat,Flying,Physical,40,90,12
Echoed Voice,Normal,Special,40,100,16
Encore,Normal,Status,-,100,8
Endeavor,Normal,Physical,1,100,8
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Feather Dance,Flying,Status,-,100,16
Flame Charge,Fire,Physical,50,100,20
Flash Cannon,Steel,Special,80,100,12
Fly,Flying,Physical,90,95,16
Giga Impact,Normal,Physical,150,90,8
Gunk Shot,Poison,Physical,120,80,8
Heat Wave,Fire,Special,95,90,12
Helping Hand,Normal,Status,-,101,20
Hurricane,Flying,Special,110,70,12
Hyper Beam,Normal,Special,150,90,8
Hyper Voice,Normal,Special,90,100,12
Knock Off,Dark,Physical,65,100,20
Overheat,Fire,Special,130,90,8
Pluck,Flying,Physical,60,100,20
Protect,Normal,Status,-,101,8
Psych Up,Normal,Status,-,101,12
Rest,Psychic,Status,-,101,8
Rock Blast,Rock,Physical,25,90,12
Roost,Flying,Status,-,101,8
Round,Normal,Special,60,100,16
Scary Face,Normal,Status,-,100,12
Screech,Normal,Status,-,85,20
Seed Bomb,Grass,Physical,80,100,16
Sky Attack,Flying,Physical,140,90,8
Sleep Talk,Normal,Status,-,101,12
Smack Down,Rock,Physical,50,100,16
Snore,Normal,Special,50,100,16
Steel Wing,Steel,Physical,70,90,20
Substitute,Normal,Status,-,101,12
Sunny Day,Fire,Status,-,101,8
Swords Dance,Normal,Status,-,101,20
Tailwind,Flying,Status,-,101,16
Temper Flare,Fire,Physical,75,100,12
Thief,Dark,Physical,60,100,20
Throat Chop,Dark,Physical,80,100,16
U-turn,Bug,Physical,70,100,20
Uproar,Normal,Special,90,100,12
