move_name,type,category,power,accuracy,pp
Belch,Poison,Special,120,90,12
Body Press,Fighting,Physical,80,100,12
Body Slam,Normal,Physical,85,100,16
Brutal Swing,Dark,Physical,60,100,20
Bulldoze,Ground,Physical,60,100,20
Coil,Poison,Status,-,101,20
Dig,Ground,Physical,80,100,12
Dragon Rush,Dragon,Physical,100,75,12
Drill Run,Ground,Physical,80,95,12
Earth Power,Ground,Special,90,100,12
Earthquake,Ground,Physical,100,100,12
Endeavor,Normal,Physical,1,100,8
Endure,Normal,Status,-,101,12
Facade,Normal,Physical,70,100,20
Fire Fang,Fire,Physical,65,95,16
Giga Impact,Normal,Physical,150,90,8
Glare,Normal,Status,-,100,20
High Horsepower,Ground,Physical,95,95,12
Hurricane,Flying,Special,110,70,12
Hyper Beam,Normal,Special,150,90,8
Iron Defense,Steel,Status,-,101,16
Iron Head,Steel,Physical,80,100,16
Last Resort,Normal,Physical,140,100,8
Minimize,Normal,Status,-,101,12
Mud Shot,Ground,Special,55,95,16
Mud-Slap,Ground,Special,20,100,12
Outrage,Dragon,Physical,120,100,12
Poison Tail,Poison,Physical,50,100,20
Protect,Normal,Status,-,101,8
Rest,Psychic,Status,-,101,8
Rock Blast,Rock,Physical,25,90,12
Rock Slide,Rock,Physical,75,90,12
Rock Tomb,Rock,Physical,60,95,16
Round,Normal,Special,60,100,16
Sand Tomb,Ground,Physical,35,85,16
Sandstorm,Rock,Status,-,101,8
Scale Shot,Dragon,Physical,25,90,20
Scary Face,Normal,Status,-,100,12
Scorching Sands,Ground,Special,70,100,12
Screech,Normal,Status,-,85,20
Skitter Smack,Bug,Physical,70,90,12
Sleep Talk,Normal,Status,-,101,12
Snore,Normal,Special,50,100,16
Stealth Rock,Rock,Status,-,101,20
Stone Edge,Rock,Physical,100,80,8
Substitute,Normal,Status,-,101,12
Thunder Fang,Electric,Physical,65,95,16
Wrap,Normal,Physical,15,90,20
Zen Headbutt,Psychic,Physical,80,90,16
