pokemon,position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Kommo-,38,move,1,Clanging Scales,90.3%,,,,,,,,
Kommo-,38,move,2,Protect,88.3%,,,,,,,,
Kommo-,38,move,3,Aura Sphere,78.7%,,,,,,,,
Kommo-,38,move,4,Clangorous Soul,73.7%,,,,,,,,
Kommo-,38,move,5,Vacuum Wave,10.2%,,,,,,,,
Kommo-,38,move,6,Body Press,7.2%,,,,,,,,
Kommo-,38,move,7,Flash Cannon,6.9%,,,,,,,,
Kommo-,38,move,8,Draco Meteor,6.7%,,,,,,,,
Kommo-,38,move,9,Flamethrower,6.4%,,,,,,,,
Kommo-,38,move,10,lron Defense,45%,,,,,,,,
Kommo-,38,held_item,1,Leftovers,54.8%,,,,,,,,
Kommo-,38,held_item,2,Dragon Fang,16.9%,,,,,,,,
Kommo-,38,held_item,3,Sitrus Berry,10.6%,,,,,,,,
Kommo-,38,held_item,4,Haban Berry,5%,,,,,,,,
Kommo-,38,held_item,5,White Herb,2%,,,,,,,,
Kommo-,38,held_item,6,Focus Sash,1.7%,,,,,,,,
Kommo-,38,held_item,7,Roseli Berry,1.7%,,,,,,,,
Kommo-,38,held_item,8,Lum Berry,1.4%,,,,,,,,
Kommo-,38,held_item,9,Black Belt,1.3%,,,,,,,,
Kommo-,38,held_item,10,Choice Scarf,1.2%,,,,,,,,
Kommo-,38,teammate,1,Incineroar,,,,,,,,,
Kommo-,38,teammate,2,Sinistcha,,,,,,,,,
Kommo-,38,teammate,3,Gengar,,,,,,,,,
Kommo-,38,teammate,4,Kingambit,,,,,,,,,
Kommo-,38,teammate,5,Sneasler,,,,,,,,,
Kommo-,38,teammate,6,Tyranitar,,,,,,,,,
Kommo-,38,teammate,7,Basculegion,,,,,,,,,
Kommo-,38,teammate,8,Tvranitar,,,,,,,,,
Kommo-,38,teammate,9,Rotom,,,,,,,,,
Kommo-,38,teammate,10,Whimsicott,,,,,,,,,
Kommo-,38,stat_alignment,1,Modest,58.7%,Sp. Atk,Attack,,,,,,
Kommo-,38,stat_alignment,2,Timid,26.4%,Speed,Attack,,,,,,
Kommo-,38,stat_alignment,3,Bold,3.6%,Defense,Attack,,,,,,
Kommo-,38,stat_alignment,4,Quiet,1.8%,Sp. Atk,Speed,,,,,,
Kommo-,38,stat_alignment,5,Adamant,1.6%,Attack,Sp. Atk,,,,,,
Kommo-,38,stat_alignment,6,Impish,1.2%,Defense,Sp. Atk,,,,,,
Kommo-,38,stat_alignment,7,Calm,1%,Sp. Def,Attack,,,,,,
Kommo-,38,stat_alignment,8,Jolly,0.8%,Speed,Sp. Atk,,,,,,
Kommo-,38,stat_alignment,9,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,
Kommo-,38,stat_alignment,10,Mild,0.4%,Sp. Atk,Defense,,,,,,
Kommo-,38,stat_points,1,,24.1%,,,2,9,9,32,9,32
Kommo-,38,stat_points,2,,8.9%,,,5,8,1,39,1,29
Kommo-,38,stat_points,3,,3.4%,,,32,8,9,32,9,2
Kommo-,38,stat_points,4,,2.8%,,,32,8,1,32,1,8
Kommo-,38,stat_points,5,,2.2%,,,32,8,9,32,2,9
Kommo-,38,stat_points,6,,1.9%,,,8,8,8,32,2,32
Kommo-,38,stat_points,7,,1.5%,,,2,0,1,30,1,32
Kommo-,38,stat_points,8,,1.5%,,,28,8,1,17,1,21
Kommo-,38,stat_points,9,,1.5%,,,1,0,1,32,0,32
Kommo-,38,stat_points,10,,1.2%,,,5,0,0,32,0,29
Kommo-,38,stat_points,11,,1.2%,,,0,0,2,32,0,32
Kommo-,38,stat_points,12,,1.2%,,,14,0,0,20,0,32
Kommo-,38,ability,1,Soundproof,74.7%,,,,,,,,
Kommo-,38,ability,2,Overcoat,20.3%,,,,,,,,
Kommo-,38,ability,3,Bulletproof,5%,,,,,,,,
