pokemon,position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Drampa Og,58,move,1,Hyper Voice,88.7%,,,,,,,,
Drampa Og,58,move,2,Protect,74.9%,,,,,,,,
Drampa Og,58,move,3,Draco Meteor,39%,,,,,,,,
Drampa Og,58,move,4,Earth,38.4%,,,,,,,,
Drampa Og,58,move,5,Dragon Pulse,32.5%,,,,,,,,
Drampa Og,58,move,6,Thunderbolt,29.9%,,,,,,,,
Drampa Og,58,move,7,Calm Mind,25%,,,,,,,,
Drampa Og,58,move,8,Flamethrower,16.9%,,,,,,,,
Drampa Og,58,move,9,Heat Wave,4%,,,,,,,,
Drampa Og,58,move,10,lce Beam,75%,,,,,,,,
Drampa Og,58,held_item,1,Drampanite,81.1%,,,,,,,,
Drampa Og,58,held_item,2,Silk Scarf,3.3%,,,,,,,,
Drampa Og,58,held_item,3,White Herb,3%,,,,,,,,
Drampa Og,58,held_item,4,Sitrus Berry,3%,,,,,,,,
Drampa Og,58,held_item,5,Leftovers,2%,,,,,,,,
Drampa Og,58,held_item,6,Quick Claw,1.7%,,,,,,,,
Drampa Og,58,held_item,7,Chople Berry,1.1%,,,,,,,,
Drampa Og,58,held_item,8,Haban Berry,1%,,,,,,,,
Drampa Og,58,held_item,9,Focus Sash,0.9%,,,,,,,,
Drampa Og,58,held_item,10,Dragon Fang,0.4%,,,,,,,,
Drampa Og,58,teammate,1,Farigirat,,,,,,,,,
Drampa Og,58,teammate,2,Sinistcha,,,,,,,,,
Drampa Og,58,teammate,3,Incineroar,,,,,,,,,
Drampa Og,58,teammate,4,Torkoal,,,,,,,,,
Drampa Og,58,teammate,5,Kingambit,,,,,,,,,
Drampa Og,58,teammate,6,Oranguru,,,,,,,,,
Drampa Og,58,teammate,7,Sneasler,,,,,,,,,
Drampa Og,58,teammate,8,Sylveon,,,,,,,,,
Drampa Og,58,teammate,9,Primarina,,,,,,,,,
Drampa Og,58,teammate,10,Basculegion,,,,,,,,,
Drampa Og,58,stat_alignment,1,Quiet,63.1%,Sp. Atk,Speed,,,,,,
Drampa Og,58,stat_alignment,2,Modes,31.4%,Sp. Atk,Attack,,,,,,
Drampa Og,58,stat_alignment,3,Bold,1.3%,Defense,Attack,,,,,,
Drampa Og,58,stat_alignment,4,Relaxer,1.3%,Defense,Speed,,,,,,
Drampa Og,58,stat_alignment,5,Calm,1.2%,Sp. Def,Attack,,,,,,
Drampa Og,58,stat_alignment,6,Sassy,1%,Sp. Def,Speed,,,,,,
Drampa Og,58,stat_alignment,7,Timid,0.3%,Speed,Attack,,,,,,
Drampa Og,58,stat_alignment,8,Mild,0.2%,Sp. Atk,Defense,,,,,,
Drampa Og,58,stat_alignment,9,Impish,0.1%,Defense,Sp. Atk,,,,,,
Drampa Og,58,stat_alignment,10,Brave,0.1%,Attack,Speed,,,,,,
Drampa Og,58,stat_points,1,,35.7%,,,32,9,2,32,9,9
Drampa Og,58,stat_points,2,,16.1%,,,32,8,8,32,2,8
Drampa Og,58,stat_points,3,,6.7%,,,32,8,9,32,9,2
Drampa Og,58,stat_points,4,,5.4%,,,32,8,1,32,1,8
Drampa Og,58,stat_points,5,,4.9%,,,32,8,8,25,1,9
Drampa Og,58,stat_points,6,,2.1%,,,32,0,0,32,0,0
Drampa Og,58,stat_points,7,,1.9%,,,2,8,32,32,8,8
Drampa Og,58,stat_points,8,,1.1%,,,2,8,8,32,32,8
Drampa Og,58,stat_points,9,,1.1%,,,0,0,2,32,32,0
Drampa Og,58,stat_points,10,,0.9%,,,0,0,32,32,2,0
Drampa Og,58,stat_points,11,,0.7%,,,32,0,1,32,0,0
Drampa Og,58,stat_points,12,,0.7%,,,32,0,9,25,0,0
Drampa Og,58,ability,1,Cloud Nine,67%,,,,,,,,
Drampa Og,58,ability,2,Berserk,30%,,,,,,,,
Drampa Og,58,ability,3,Sap Sipper,3%,,,,,,,,
