pokemon,position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Vivillon Icy Snow Pattern,102,move,1,Sleep Powder,90.7%,,,,,,,,
Vivillon Icy Snow Pattern,102,move,2,Hurricane,66.6%,,,,,,,,
Vivillon Icy Snow Pattern,102,move,3,Protect,57.1%,,,,,,,,
Vivillon Icy Snow Pattern,102,move,4,Tailwind,55.1%,,,,,,,,
Vivillon Icy Snow Pattern,102,move,5,Rage Powder,52.9%,,,,,,,,
Vivillon Icy Snow Pattern,102,move,6,Pollen Puff,38.3%,,,,,,,,
Vivillon Icy Snow Pattern,102,move,7,Bug Buzz,5%,,,,,,,,
Vivillon Icy Snow Pattern,102,move,8,Struggle Bug,4.4%,,,,,,,,
Vivillon Icy Snow Pattern,102,move,9,Quiver Dance,4.4%,,,,,,,,
Vivillon Icy Snow Pattern,102,move,10,Rain Dance,3.9%,,,,,,,,
Vivillon Icy Snow Pattern,102,held_item,1,Focus Sash,77.2%,,,,,,,,
Vivillon Icy Snow Pattern,102,held_item,2,Choice Scarf,14.4%,,,,,,,,
Vivillon Icy Snow Pattern,102,held_item,3,Bright Powder,1.6%,,,,,,,,
Vivillon Icy Snow Pattern,102,held_item,4,Leftovers,1.3%,,,,,,,,
Vivillon Icy Snow Pattern,102,held_item,5,Sitrus Berry,1.1%,,,,,,,,
Vivillon Icy Snow Pattern,102,held_item,6,Quick Claw,1%,,,,,,,,
Vivillon Icy Snow Pattern,102,held_item,7,Charti Berry,0.9%,,,,,,,,
Vivillon Icy Snow Pattern,102,held_item,8,Mental Herb,0.7%,,,,,,,,
Vivillon Icy Snow Pattern,102,held_item,9,Occa Berry,0.5%,,,,,,,,
Vivillon Icy Snow Pattern,102,held_item,10,Sharp Beak,0.3%,,,,,,,,
Vivillon Icy Snow Pattern,102,teammate,1,Sneasler,,,,,,,,,
Vivillon Icy Snow Pattern,102,teammate,2,Garchomp,,,,,,,,,
Vivillon Icy Snow Pattern,102,teammate,3,Incineroar,,,,,,,,,
Vivillon Icy Snow Pattern,102,teammate,4,Basculegion,,,,,,,,,
Vivillon Icy Snow Pattern,102,teammate,5,Farigirat,,,,,,,,,
Vivillon Icy Snow Pattern,102,teammate,6,Blastoise,,,,,,,,,
Vivillon Icy Snow Pattern,102,teammate,7,Kangaskhan,,,,,,,,,
Vivillon Icy Snow Pattern,102,teammate,8,Kingambit,,,,,,,,,
Vivillon Icy Snow Pattern,102,teammate,9,Milotic,,,,,,,,,
Vivillon Icy Snow Pattern,102,teammate,10,Sinistcha,,,,,,,,,
Vivillon Icy Snow Pattern,102,stat_alignment,1,Timid,90.1%,Speed,Attack,,,,,,
Vivillon Icy Snow Pattern,102,stat_alignment,2,Modest,4.1%,Sp. Atk,Attack,,,,,,
Vivillon Icy Snow Pattern,102,stat_alignment,3,Bold,1.9%,Defense,Attack,,,,,,
Vivillon Icy Snow Pattern,102,stat_alignment,4,Calm,1.1%,Sp. Def,Attack,,,,,,
Vivillon Icy Snow Pattern,102,stat_alignment,5,Hasty,0.8%,Speed,Defense,,,,,,
Vivillon Icy Snow Pattern,102,stat_alignment,6,Mild,0.4%,Sp. Atk,Defense,,,,,,
Vivillon Icy Snow Pattern,102,stat_alignment,7,Jolly,0.4%,Speed,Sp. Atk,,,,,,
Vivillon Icy Snow Pattern,102,stat_alignment,8,Naive,0.3%,Speed,Sp. Def,,,,,,
Vivillon Icy Snow Pattern,102,stat_alignment,9,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Vivillon Icy Snow Pattern,102,stat_alignment,10,Relaxed,0.2%,Defense,Speed,,,,,,
Vivillon Icy Snow Pattern,102,stat_points,1,,43%,,,2,9,9,32,9,32
Vivillon Icy Snow Pattern,102,stat_points,2,,6.2%,,,8,8,2,32,9,32
Vivillon Icy Snow Pattern,102,stat_points,3,,4.7%,,,32,8,8,2,8,32
Vivillon Icy Snow Pattern,102,stat_points,4,,4.3%,,,8,8,9,32,2,32
Vivillon Icy Snow Pattern,102,stat_points,5,,3.8%,,,8,8,9,32,9,32
Vivillon Icy Snow Pattern,102,stat_points,6,,3.7%,,,1,0,1,32,0,32
Vivillon Icy Snow Pattern,102,stat_points,7,,3.5%,,,0,0,1,32,1,32
Vivillon Icy Snow Pattern,102,stat_points,8,,3.3%,,,32,8,2,8,8,32
Vivillon Icy Snow Pattern,102,stat_points,9,,2.1%,,,32,0,0,0,2,32
Vivillon Icy Snow Pattern,102,stat_points,10,,2.1%,,,1,0,0,32,0,32
Vivillon Icy Snow Pattern,102,stat_points,11,,1.9%,,,0,0,24,0,10,32
Vivillon Icy Snow Pattern,102,stat_points,12,,1.8%,,,32,0,1,0,1,32
Vivillon Icy Snow Pattern,102,ability,1,Compound Eyes,85.1%,,,,,,,,
Vivillon Icy Snow Pattern,102,ability,2,Friend Guard,11.8%,,,,,,,,
Vivillon Icy Snow Pattern,102,ability,3,Shield Dust,3%,,,,,,,,
