pokemon,position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Farigirat,11,move,1,Trick Room,93.5%,,,,,,,,
Farigirat,11,move,2,Psychic,60.7%,,,,,,,,
Farigirat,11,move,3,Hyper Voice,54.5%,,,,,,,,
Farigirat,11,move,4,Helping Hand,46%,,,,,,,,
Farigirat,11,move,5,Protect,41.7%,,,,,,,,
Farigirat,11,move,6,Twin Beam,19.5%,,,,,,,,
Farigirat,11,move,7,Rain Dance,11.2%,,,,,,,,
Farigirat,11,move,8,Imprison,11%,,,,,,,,
Farigirat,11,move,9,Dazzling Gleam,8.6%,,,,,,,,
Farigirat,11,move,10,Ally Switch,6.9%,,,,,,,,
Farigirat,11,held_item,1,Sitrus Berry,47.2%,,,,,,,,
Farigirat,11,held_item,2,Colbur Berry,21.1%,,,,,,,,
Farigirat,11,held_item,3,Mental Herb,10.9%,,,,,,,,
Farigirat,11,held_item,4,Leftovers,8.4%,,,,,,,,
Farigirat,11,held_item,5,Focus Sash,3.7%,,,,,,,,
Farigirat,11,held_item,6,Lum Berry,2%,,,,,,,,
Farigirat,11,held_item,7,Silk Scarf,1.7%,,,,,,,,
Farigirat,11,held_item,8,Bright Powder,1.3%,,,,,,,,
Farigirat,11,held_item,9,Quick Claw,1.1%,,,,,,,,
Farigirat,11,held_item,10,Twisted Spoon,0.9%,,,,,,,,
Farigirat,11,teammate,1,Kingambit,,,,,,,,,
Farigirat,11,teammate,2,Incineroar,,,,,,,,,
Farigirat,11,teammate,3,Sneasler,,,,,,,,,
Farigirat,11,teammate,4,Torkoal,,,,,,,,,
Farigirat,11,teammate,5,Sinistcha,,,,,,,,,
Farigirat,11,teammate,6,Basculegion,,,,,,,,,
Farigirat,11,teammate,7,Blastoise,,,,,,,,,
Farigirat,11,teammate,8,Garchomp,,,,,,,,,
Farigirat,11,teammate,9,Charizard,,,,,,,,,
Farigirat,11,teammate,10,Aerodactyl,,,,,,,,,
Farigirat,11,stat_alignment,1,Quiet,23.1%,Sp. Atk,Speed,,,,,,
Farigirat,11,stat_alignment,2,Modest,22.9%,Sp. Atk,Attack,,,,,,
Farigirat,11,stat_alignment,3,Bold,19.5%,Defense,Attack,,,,,,
Farigirat,11,stat_alignment,4,Relaxed,15.2%,Defense,Speed,,,,,,
Farigirat,11,stat_alignment,5,Sassy,11.6%,Sp. Def,Speed,,,,,,
Farigirat,11,stat_alignment,6,Calm,5.4%,Sp. Def,Attack,,,,,,
Farigirat,11,stat_alignment,7,Timid,0.9%,Speed,Attack,,,,,,
Farigirat,11,stat_alignment,8,Mild,0.3%,Sp. Atk,Defense,,,,,,
Farigirat,11,stat_alignment,9,Brave,0.2%,Attack,Speed,,,,,,
Farigirat,11,stat_alignment,10,Impish,0.2%,Defense,Sp. Atk,,,,,,
Farigirat,11,stat_points,1,,7.2%,,,32,9,2,32,9,9
Farigirat,11,stat_points,2,,9.1%,,,32,8,32,9,2,9
Farigirat,11,stat_points,3,,4.7%,,,32,8,28,8,14,8
Farigirat,11,stat_points,4,,3.3%,,,32,8,9,32,2,9
Farigirat,11,stat_points,5,,2.7%,,,19,8,17,9,39,9
Farigirat,11,stat_points,6,,2.3%,,,32,0,24,0,10,0
Farigirat,11,stat_points,7,,2.2%,,,32,0,27,0,7,0
Farigirat,11,stat_points,8,,2.1%,,,27,8,31,8,8,8
Farigirat,11,stat_points,9,,1.8%,,,31,0,6,10,18,1
Farigirat,11,stat_points,10,,1.7%,,,2,0,32,0,32,0
Farigirat,11,stat_points,11,,1.2%,,,32,0,14,0,20,0
Farigirat,11,stat_points,12,,1.2%,,,32,0,1,32,1,0
Farigirat,11,ability,1,Armor Tail,99.3%,,,,,,,,
Farigirat,11,ability,2,Cud Chew,0.5%,,,,,,,,
Farigirat,11,ability,3,Sap Sipper,0.2%,,,,,,,,
