pokemon,position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Wy Goodra,77,move,1,Body Press,50.8%,,,,,,,,
Wy Goodra,77,move,2,Flash Cannon,49.9%,,,,,,,,
Wy Goodra,77,move,3,Shelter,47.9%,,,,,,,,
Wy Goodra,77,move,4,Protect,45.4%,,,,,,,,
Wy Goodra,77,move,5,Thunderbolt,25%,,,,,,,,
Wy Goodra,77,move,6,Life Dew,24.9%,,,,,,,,
Wy Goodra,77,move,7,Draco Meteor,21.9%,,,,,,,,
Wy Goodra,77,move,8,Heavy Slam,19.4%,,,,,,,,
Wy Goodra,77,move,9,Dragon Pulse,19.4%,,,,,,,,
Wy Goodra,77,move,10,lce Beam,13.9%,,,,,,,,
Wy Goodra,77,held_item,1,Leftovers,57.6%,,,,,,,,
Wy Goodra,77,held_item,2,Sitrus Berry,13.9%,,,,,,,,
Wy Goodra,77,held_item,3,Chople Berry,3.6%,,,,,,,,
Wy Goodra,77,held_item,4,White Herb,4.2%,,,,,,,,
Wy Goodra,77,held_item,5,Quick Claw,4.1%,,,,,,,,
Wy Goodra,77,held_item,6,Shell Bell,2.3%,,,,,,,,
Wy Goodra,77,held_item,7,Shuca Berry,1.7%,,,,,,,,
Wy Goodra,77,held_item,8,Lum Berry,1.6%,,,,,,,,
Wy Goodra,77,held_item,9,Bright Powder,1.6%,,,,,,,,
Wy Goodra,77,held_item,10,Scope Lens,1.4%,,,,,,,,
Wy Goodra,77,teammate,1,Sinistcha,,,,,,,,,
Wy Goodra,77,teammate,2,Incineroar,,,,,,,,,
Wy Goodra,77,teammate,3,Sneasler,,,,,,,,,
Wy Goodra,77,teammate,4,Farigirat,,,,,,,,,
Wy Goodra,77,teammate,5,Tyranitar,,,,,,,,,
Wy Goodra,77,teammate,6,Aerodacty,,,,,,,,,
Wy Goodra,77,teammate,7,Milotic,,,,,,,,,
Wy Goodra,77,teammate,8,Garchomp,,,,,,,,,
Wy Goodra,77,teammate,9,Basculegion,,,,,,,,,
Wy Goodra,77,teammate,10,Charizard,,,,,,,,,
Wy Goodra,77,stat_alignment,1,Bolc,20.7%,Defense,Attack,,,,,,
Wy Goodra,77,stat_alignment,2,Mode,20.2%,Sp. Atk,Attack,,,,,,
Wy Goodra,77,stat_alignment,3,Relaxed,13.9%,Defense,Speed,,,,,,
Wy Goodra,77,stat_alignment,4,Quiet,11.7%,Sp. Atk,Speed,,,,,,
Wy Goodra,77,stat_alignment,5,Impish,8.5%,Defense,Sp. Atk,,,,,,
Wy Goodra,77,stat_alignment,6,Calm,8.2%,Sp. Def,Attack,,,,,,
Wy Goodra,77,stat_alignment,7,Sassy,6.3%,Sp. Def,Speed,,,,,,
Wy Goodra,77,stat_alignment,8,Careful,4.3%,Sp. Def,Sp. Atk,,,,,,
Wy Goodra,77,stat_alignment,9,Adamant,2.2%,Attack,Sp. Atk,,,,,,
Wy Goodra,77,stat_alignment,10,Brave,1.9%,Attack,Speed,,,,,,
Wy Goodra,77,stat_points,1,,16.3%,,,32,9,32,9,2,9
Wy Goodra,77,stat_points,2,,8.3%,,,32,8,2,32,8,8
Wy Goodra,77,stat_points,3,,4.1%,,,32,8,9,32,2,9
Wy Goodra,77,stat_points,4,,3.7%,,,2,8,32,32,8,8
Wy Goodra,77,stat_points,5,,3.1%,,,32,8,32,2,9,9
Wy Goodra,77,stat_points,6,,3%,,,0,0,32,32,2,0
Wy Goodra,77,stat_points,7,,2.8%,,,32,8,2,8,32,8
Wy Goodra,77,stat_points,8,,2.1%,,,2,8,8,32,32,8
Wy Goodra,77,stat_points,9,,2%,,,0,0,2,32,32,0
Wy Goodra,77,stat_points,10,,1.8%,,,2,0,32,0,32,0
Wy Goodra,77,stat_points,11,,1.5%,,,32,0,32,0,0,2
Wy Goodra,77,stat_points,12,,1.5%,,,32,2,32,0,0,0
Wy Goodra,77,ability,1,Shell Armor,46.7%,,,,,,,,
Wy Goodra,77,ability,2,Gooey,27%,,,,,,,,
Wy Goodra,77,ability,3,Sap Sipper,26%,,,,,,,,
